Rk,Player,Nation,Pos,Squad,AGE,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSx_GSoT,PSxG_plus_minus,plus_minus_p90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA_p90,AvgDist
29,Tomás Marchiori,ar ARG,GK,Vélez Sarsfield,29.8739726,1995,15,18,0,0,2,1,14.7,0.31,-2.3,-0.16,38,128,29.7,275,50,29.5,32.1,122,38.5,36,180,10,5.6,6,0.4,13.4
30,Diego Matías Rodríguez,ar ARG,GK,Arg Juniors,35.86027397,1989,16,9,0,0,2,1,10,0.23,+2.0,+0.13,97,213,45.5,432,31,37.5,36.6,93,54.8,45.3,177,5,2.8,2,0.13,8.6
31,Lautaro Morales,ar ARG,GK,Lanús,25.38356164,1999,1,1,0,0,0,0,1,0.52,0,+0.04,3,6,50,16,2,31.3,30.3,6,16.7,29.5,7,0,0,0,0,3
32,Keylor Navas,cr CRC,GK,Newell's OB,38.38630137,1986,14,11,0,0,3,1,16.7,0.26,+6.7,+0.48,106,222,47.7,247,48,51,41.1,132,72.7,52.5,272,10,3.7,3,0.21,9.6
33,Franco Petroli,ar ARG,GK,Godoy Cruz,26.89863014,1998,16,18,0,0,3,1,18.2,0.28,+1.2,+0.08,131,323,40.6,471,62,54.8,42.4,101,64.4,51.3,257,27,10.5,16,1,13.5
34,Josue Reinatti,ar ARG,GK,Newell's OB,21.92328767,2003,2,4,1,0,1,0,4.6,0.26,+0.6,+0.30,7,11,63.6,55,20,20,29.4,6,0,18.2,33,3,9.1,1,0.5,11.4
35,Rodrigo Rey,ar ARG,GK,Independiente,34.15890411,1991,16,12,3,0,1,3,14.1,0.26,+5.1,+0.32,85,202,42.1,393,67,42.7,36.4,101,33.7,34.2,200,8,4,4,0.25,10.8
36,Randall Rodríguez,uy URU,GK,Vélez Sarsfield,21.43013699,2003,1,4,1,0,0,0,2.7,0.23,-1.3,-1.28,4,16,25,23,5,56.5,37.7,7,42.9,36,10,1,10,0,0,12.4
37,Manuel Roffo,ar ARG,GK,Instituto,25.08493151,2000,16,20,2,0,1,0,17.8,0.3,-2.2,-0.14,83,207,40.1,310,45,43.9,39.3,113,62.8,49.7,210,15,7.1,10,0.63,13.1
38,Facundo Sanguinetti,ar ARG,GK,Banfield,24.17808219,2001,16,19,3,0,1,0,21.8,0.26,+2.8,+0.17,87,250,34.8,304,46,53.3,42.2,119,73.9,54.8,249,9,3.6,11,0.69,14
39,Matías Tagliamonte,ar ARG,GK,Unión,27.20547945,1998,2,1,0,0,0,0,1.7,0.11,+0.7,+0.35,5,22,22.7,39,10,43.6,37.8,13,38.5,35.1,32,3,9.4,0,0,4.2
40,Manuel Vicentini,ar ARG,GK,Belgrano,35.04383562,1990,5,5,0,0,1,0,7.6,0.39,+2.6,+0.52,25,93,26.9,113,18,57.5,42.8,41,68.3,48.5,107,3,2.8,14,2.8,17.6
41,Axel Werner,ar ARG,GK,Rosario Central,29.18082192,1996,2,0,0,0,0,0,1.5,0.5,+1.5,+0.75,6,19,31.6,28,7,35.7,37.8,15,60,47.2,30,1,3.3,0,0,7
42,Felipe Zenobio,ar ARG,GK,Tigre,24.95342466,2000,16,12,2,0,1,0,14.7,0.25,+2.7,+0.17,66,184,35.9,285,60,48.1,40.8,108,43.5,41.4,243,20,8.2,6,0.38,9.5
43,Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,23.89863014,2001,2,3,0,0,1,0,3.9,0.48,+0.9,+0.43,6,14,42.9,28,6,21.4,27.1,12,66.7,54.2,29,0,0,0,0,7.3
1,Andrew,br BRA,GK,Gil Vicente FC,23.84383562,2001,32,45,6,1,11,1,41.9,0.32,-2.1,-0.06,124,346,35.8,932,149,25.4,31.7,270,40.4,39.2,479,35,7.3,33,1.03,13.5
2,Gabriel Batista,br BRA,GK,Santa Clara,26.92054795,1998,32,30,3,1,5,0,27.4,0.22,-2.6,-0.08,157,493,31.8,715,116,47.1,39.3,262,59.5,48.2,434,37,8.5,28,0.88,13
3,Ricardo Batista,pt POR,GK,Casa Pia,38.45753425,1986,1,1,1,0,0,0,0.8,0.02,-0.2,-0.23,1,2,50,31,3,6.5,24.7,3,0,18.7,10,0,0,2,2,14.7
4,Simão Bertelli,br BRA,GK,AVS Futebol,31.92328767,1993,11,15,2,0,1,0,21.1,0.34,+6.1,+0.55,60,154,39,295,45,36.3,35,82,57.3,45,150,8,5.3,8,0.73,13.8
5,Bruno Brigido,br BRA,GK,Estrela,34.15616438,1991,17.5,30,2,1,6,1,27.3,0.33,-1.7,-0.09,66,243,27.2,425,90,36.9,36.3,132,65.2,51,257,9,3.5,15,0.86,13.3
6,Lazar Carević,me MNE,GK,Famalicão,26.1369863,1999,18,21,3,0,1,1,23.3,0.27,+3.3,+0.18,71,183,38.8,429,71,31.5,32.6,97,49.5,39.5,248,6,2.4,18,1,14.6
7,César,br BRA,GK,Boavista,33.26849315,1992,16,30,3,0,3,2,28.6,0.34,+0.6,+0.04,75,219,34.2,251,60,54.6,41.2,125,65.6,46.2,213,18,8.5,10,0.63,12.7
8,Kevin Chamorro,cr CRC,GK,Estoril,25.0739726,2000,3,3,1,0,0,0,3.3,0.3,+0.3,+0.09,9,41,22,61,9,45.9,37.7,13,100,68.5,32,3,9.4,12,4,18.9
9,Diogo Costa,pt POR,GK,Porto,25.62465753,1999,30,26,4,1,4,1,25.7,0.28,+0.7,+0.02,120,282,42.6,1002,131,23.1,29.1,138,37,36.8,281,17,6,47,1.57,18.8
10,João Paulo Santos Costa,pt POR,GK,Estrela,29.25205479,1996,11,10,2,0,2,0,12.9,0.27,+2.9,+0.27,69,185,37.3,240,29,50.8,39.1,87,72.4,52.8,141,2,1.4,9,0.82,15.3
11,Rui Encarnação,pt POR,GK,Nacional,27.08219178,1998,0.5,1,1,0,0,0,1.1,0.05,+0.1,+0.22,3,4,75,6,0,33.3,39.2,2,100,60,7,0,0,0,0,10
12,Daniel Figueira,pt POR,GK,Estoril,26.79178082,1998,1,4,1,0,0,0,2.4,0.23,-1.6,-1.55,2,6,33.3,19,6,21.1,27.2,5,40,26.6,16,1,6.3,0,0,9.4
13,Lucas França,br BRA,GK,Nacional,29.29041096,1996,31.5,43,7,0,7,0,47,0.29,+4.0,+0.13,163,475,34.3,646,106,42,37,302,67.5,48.3,501,33,6.6,23,0.73,11.3
14,João Gonçalves,pt POR,GK,Boavista,24.49589041,2000,4,2,0,0,0,0,3.3,0.41,+1.3,+0.33,31,88,35.2,74,3,70.3,48.7,36,100,64.3,59,1,1.7,1,0.25,14
15,Marko Gudžulić,rs SRB,GK,Estrela,22.83287671,2002,2,3,0,0,1,1,2.5,0.19,+0.5,+0.27,15,48,31.3,54,7,55.6,44.3,19,94.7,61.3,37,4,10.8,1,0.5,9.7
16,Lukáš Horníček,cz CZE,GK,Braga,22.8109589,2002,15,8,1,1,1,0,12.2,0.22,+4.2,+0.28,58,182,31.9,480,77,30.4,31.8,78,46.2,40.1,177,14,7.9,30,2,17.3
17,Franco Israel,uy URU,GK,Sporting CP,25.03561644,2000,11,9,0,1,0,0,7,0.3,-2,-0.18,13,33,39.4,214,45,10.3,23.3,50,22,27.4,99,2,2,4,0.36,11.3
18,Jhonatan,br BRA,GK,Rio Ave,33.99178082,1991,8,13,0,0,0,0,12.3,0.29,-0.7,-0.09,30,102,29.4,231,40,26.4,32.3,78,52.6,42.2,126,3,2.4,5,0.63,12
