Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,source_file
69,Timo Horn,de GER,GK,Bochum,de Bundesliga,31-357,1993,11,11,990,11.0,18,1.64,45,27,60.0,2,3,6,2,18.2,1,0,0,1,,player_goalkeeping_big5.csv
70,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,35-161,1989,27,27,2430,27.0,32,1.19,107,78,72.9,16,10,1,6,22.2,3,3,0,0,0.0,player_goalkeeping_big5.csv
71,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,23-021,2002,28,28,2520,28.0,63,2.25,148,86,59.5,4,4,20,5,17.9,3,3,0,0,0.0,player_goalkeeping_big5.csv
72,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23-285,2001,1,0,12,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,player_goalkeeping_big5.csv
73,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-096,1990,3,3,270,3.0,6,2.00,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_big5.csv
74,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-040,1993,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,player_goalkeeping_big5.csv
75,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,32-044,1993,8,7,703,7.8,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0,player_goalkeeping_big5.csv
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_big5.csv
76,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-110,2001,14,13,1188,13.2,16,1.21,51,35,76.5,6,4,3,3,23.1,4,4,0,0,0.0,player_goalkeeping_big5.csv
77,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-018,2002,6,6,540,6.0,9,1.50,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,player_goalkeeping_big5.csv
78,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,26-162,1998,10,10,900,10.0,12,1.20,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,player_goalkeeping_big5.csv
79,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,22-052,2003,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,player_goalkeeping_big5.csv
80,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-149,1997,30,30,2700,30.0,45,1.50,117,72,65.0,14,6,10,6,20.0,4,4,0,0,0.0,player_goalkeeping_big5.csv
81,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,28-200,1996,5,5,450,5.0,8,1.60,26,18,76.9,1,0,4,0,0.0,2,2,0,0,0.0,player_goalkeeping_big5.csv
82,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-032,1998,17,17,1530,17.0,15,0.88,54,39,74.1,10,5,2,7,41.2,1,1,0,0,0.0,player_goalkeeping_big5.csv
83,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24-352,2000,4,4,360,4.0,3,0.75,13,10,76.9,3,0,1,3,75.0,0,0,0,0,,player_goalkeeping_big5.csv
