Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,source_file
15,Lucão,br BRA,GK,RB Bragantino,,24-068,2001,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_brasil.csv
16,Marcão,br BRA,GK,Juventude,,33-060,1992,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,1,50.0,0,0,0,0,,player_goalkeeping_brasil.csv
17,Fernando Miguel,br BRA,GK,Ceará,,40-092,1985,4,3,297,3.3,3,0.91,14,11,85.7,1,1,1,1,33.3,1,1,0,0,0.0,player_goalkeeping_brasil.csv
18,Alex Muralha,br BRA,GK,Mirassol,,35-176,1989,6,6,540,6.0,9,1.50,25,16,68.0,1,4,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_brasil.csv
19,Rafael Pires,br BRA,GK,São Paulo,,35-316,1989,7,7,630,7.0,5,0.71,23,18,82.6,1,6,0,3,42.9,1,1,0,0,0.0,player_goalkeeping_brasil.csv
20,João Ricardo Riedi,br BRA,GK,Fortaleza,,36-241,1988,7,7,630,7.0,5,0.71,30,24,83.3,1,4,2,4,57.1,1,0,1,0,100.0,player_goalkeeping_brasil.csv
21,Sergio Rochet,uy URU,GK,Internacional,,32-043,1993,1,1,45,0.5,,,2,2,,,1,,,,,,,,,player_goalkeeping_brasil.csv
22,Ronaldo,br BRA,GK,Bahia,,28-256,1996,4,4,288,3.2,4,1.25,14,9,71.4,0,3,1,0,0.0,1,0,1,0,100.0,player_goalkeeping_brasil.csv
23,Agustín Rossi,ar ARG,GK,Flamengo,,29-257,1995,7,7,630,7.0,4,0.57,21,16,81.0,4,2,1,4,57.1,1,0,1,0,100.0,player_goalkeeping_brasil.csv
24,Cleiton Schwengber,br BRA,GK,RB Bragantino,,27-259,1997,5,5,450,5.0,5,1.00,21,16,76.2,3,1,1,2,40.0,0,0,0,0,,player_goalkeeping_brasil.csv
25,Hugo Souza,br BRA,GK,Corinthians,,26-094,1999,2,2,180,2.0,6,3.00,10,4,50.0,1,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_brasil.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_brasil.csv
26,Tiago Volpi,br BRA,GK,Grêmio,,34-137,1990,7,7,630,7.0,11,1.57,32,21,75.0,2,2,3,1,14.3,3,3,0,0,0.0,player_goalkeeping_brasil.csv
27,Wéverton,br BRA,GK,Palmeiras,,37-143,1987,7,7,630,7.0,3,0.43,23,19,87.0,5,1,1,4,57.1,1,0,1,0,100.0,player_goalkeeping_brasil.csv
1,Carlos Acevedo,mx MEX,GK,Santos,,29-016,1996,33,33,2970,33.0,65,1.97,187,125,66.3,4,5,24,3,9.1,3,2,1,0,33.3,player_goalkeeping_ligamx.csv
2,Gil Alcalá,mx MEX,GK,UNAM,,32-280,1992,4,4,360,4.0,2,0.50,7,5,71.4,2,1,1,3,75.0,0,0,0,0,,player_goalkeeping_ligamx.csv
3,Guillermo Allison,mx MEX,GK,Querétaro,,34-222,1990,25,25,2250,25.0,42,1.68,131,87,71.8,6,4,15,5,20.0,7,5,2,0,28.6,player_goalkeeping_ligamx.csv
4,Esteban Andrada,ar ARG,GK,Monterrey,,34-099,1991,24,24,2160,24.0,29,1.21,98,69,74.5,11,7,6,8,33.3,4,4,0,0,0.0,player_goalkeeping_ligamx.csv
5,Luis Ángel Malagón,mx MEX,GK,América,,28-064,1997,29,29,2565,28.5,27,0.95,97,70,74.2,17,5,7,10,34.5,2,2,0,0,0.0,player_goalkeeping_ligamx.csv
6,José Antonio Rodríguez,mx MEX,GK,Tijuana,,32-305,1992,21,21,1880,20.9,36,1.72,113,79,70.8,10,4,7,3,14.3,3,3,0,0,0.0,player_goalkeeping_ligamx.csv
7,Alfonso Blanco Antúnez,mx MEX,GK,León,,37-278,1987,26,26,2340,26.0,33,1.27,129,98,76.7,9,9,8,7,26.9,4,3,0,1,0.0,player_goalkeeping_ligamx.csv
8,Luis Cárdenas,mx MEX,GK,Monterrey,,31-232,1993,10,10,900,10.0,13,1.30,41,28,70.7,6,1,3,1,10.0,1,1,0,0,0.0,player_goalkeeping_ligamx.csv
9,José Corona,mx MEX,GK,Tijuana,,44-099,1981,11,10,910,10.1,18,1.78,53,34,69.8,3,2,5,1,10.0,3,2,1,0,33.3,player_goalkeeping_ligamx.csv
10,Rodolfo Cota,mx MEX,GK,América,,37-306,1987,6,5,495,5.5,4,0.73,17,13,76.5,1,2,2,3,60.0,0,0,0,0,,player_goalkeeping_ligamx.csv
11,Arturo Delgado,mx MEX,GK,FC Juárez,,23-076,2002,2,2,180,2.0,1,0.50,11,10,90.9,1,1,0,1,50.0,0,0,0,0,,player_goalkeeping_ligamx.csv
12,Benny Díaz,mx MEX,GK,FC Juárez,,26-141,1998,11,11,990,11.0,26,2.36,63,37,66.7,4,0,7,2,18.2,5,5,0,0,0.0,player_goalkeeping_ligamx.csv
13,José Eulogio,mx MEX,GK,Pachuca,,21-083,2004,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,player_goalkeeping_ligamx.csv
14,Carlos Felipe Rodríguez,mx MEX,GK,UANL,,36-032,1989,3,3,270,3.0,1,0.33,10,9,90.0,2,1,0,2,66.7,0,0,0,0,,player_goalkeeping_ligamx.csv
15,Eduardo García,mx MEX,GK,Guadalajara,,22-298,2002,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,1,50.0,0,0,0,0,,player_goalkeeping_ligamx.csv
16,Hugo González Durán,mx MEX,GK,Mazatlán,,34-277,1990,34,34,3015,33.5,45,1.34,148,104,73.6,6,13,15,9,26.5,8,6,0,2,0.0,player_goalkeeping_ligamx.csv
17,Andrés Gudiño,mx MEX,GK,Cruz Azul,,28-098,1997,1,1,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,player_goalkeeping_ligamx.csv
18,Ricardo Gutiérrez,mx MEX,GK,Mazatlán,,27-322,1997,1,0,45,0.5,0,0.00,5,5,100.0,0,0,0,0,,0,0,0,0,,player_goalkeeping_ligamx.csv
19,Nahuel Guzmán,ar ARG,GK,UANL,,39-084,1986,28,28,2519,28.0,26,0.93,104,78,78.8,16,5,7,9,32.1,5,4,0,1,0.0,player_goalkeeping_ligamx.csv
20,Jorge Hernández,mx MEX,GK,Querétaro,,26-149,1998,9,9,810,9.0,13,1.44,41,28,70.7,3,1,5,2,22.2,2,1,0,1,0.0,player_goalkeeping_ligamx.csv
21,Héctor Holguín,mx MEX,GK,Santos,,24-011,2001,1,1,90,1.0,1,1.00,5,4,100.0,0,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_ligamx.csv
22,Oscar Jiménez,mx MEX,GK,León,,36-205,1988,8,8,720,8.0,11,1.37,41,30,73.2,3,3,2,1,12.5,0,0,0,0,,player_goalkeeping_ligamx.csv
23,Miguel Jiménez Ponce,mx MEX,GK,Puebla,,35-052,1990,24,24,2160,24.0,40,1.67,117,75,68.4,5,3,16,4,16.7,6,3,3,0,50.0,player_goalkeeping_ligamx.csv
24,Julio José González,mx MEX,GK,UNAM,,34-012,1991,13,13,1170,13.0,11,0.85,44,34,79.5,7,3,3,6,46.2,2,2,0,0,0.0,player_goalkeeping_ligamx.csv
25,Julio José González,mx MEX,GK,Puebla,,34-012,1991,6,6,540,6.0,8,1.33,30,22,76.7,0,1,5,1,16.7,1,1,0,0,0.0,player_goalkeeping_ligamx.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_ligamx.csv
26,Sebastián Jurado,mx MEX,GK,FC Juárez,,27-219,1997,21,21,1890,21.0,30,1.43,87,58,67.8,6,7,8,5,23.8,2,2,0,0,0.0,player_goalkeeping_ligamx.csv
27,Pablo Lara,mx MEX,GK,UNAM,,19-310,2005,7,7,630,7.0,9,1.29,32,24,71.9,3,2,2,2,28.6,0,0,0,0,,player_goalkeeping_ligamx.csv
28,Cesar López,mx MEX,GK,Atlético,,24-329,2000,5,4,436,4.8,7,1.44,22,15,68.2,3,0,1,2,50.0,0,0,0,0,,player_goalkeeping_ligamx.csv
29,Pau López,es ESP,GK,Toluca,,30-143,1994,10,10,900,10.0,13,1.30,37,25,64.9,7,2,1,4,40.0,0,0,0,0,,player_goalkeeping_ligamx.csv
30,Luis Manuel García,mx MEX,GK,Toluca,,32-125,1992,5,5,450,5.0,6,1.20,15,9,60.0,3,1,1,1,20.0,0,0,0,0,,player_goalkeeping_ligamx.csv
31,Kevin Mier,co COL,GK,Cruz Azul,,24-352,2000,33,33,2970,33.0,27,0.82,88,61,72.7,21,9,3,14,42.4,4,3,1,0,25.0,player_goalkeeping_ligamx.csv
32,Carlos Moreno,mx MEX,GK,Pachuca,,27-096,1998,32,32,2880,32.0,48,1.50,142,93,69.0,11,8,13,6,18.8,5,4,1,0,20.0,player_goalkeeping_ligamx.csv
33,Miguel Ortega,mx MEX,GK,Tijuana,,30-022,1995,3,3,270,3.0,6,2.00,13,7,61.5,1,0,2,0,0.0,1,1,0,0,0.0,player_goalkeeping_ligamx.csv
34,Alex Padilla,es ESP,GK,UNAM,,21-246,2003,10,10,900,10.0,17,1.70,39,22,59.0,3,1,6,2,20.0,1,1,0,0,0.0,player_goalkeeping_ligamx.csv
35,José Rangel Aguilar,mx MEX,GK,Guadalajara,,25-069,2000,32,32,2879,32.0,32,1.00,121,87,74.4,11,10,11,11,34.4,3,1,2,0,66.7,player_goalkeeping_ligamx.csv
36,Jesús Rodríguez,mx MEX,GK,Puebla,,31-349,1993,4,4,360,4.0,8,2.00,20,12,60.0,1,1,2,1,25.0,0,0,0,0,,player_goalkeeping_ligamx.csv
37,Andrés Sánchez,mx MEX,GK,Atlético,,27-214,1997,30,30,2624,29.2,45,1.54,132,86,66.7,12,3,15,3,10.0,2,1,1,0,50.0,player_goalkeeping_ligamx.csv
38,José Santiago Hernández,mx MEX,GK,Atlas,,28-004,1997,3,3,270,3.0,3,1.00,6,3,66.7,1,2,0,1,33.3,1,1,0,0,0.0,player_goalkeeping_ligamx.csv
39,Fernando Tapia,mx MEX,GK,UANL,,23-322,2001,3,3,270,3.0,2,0.67,17,15,88.2,2,1,0,1,33.3,0,0,0,0,,player_goalkeeping_ligamx.csv
40,Ezequiel Unsain,ar ARG,GK,Necaxa,,30-057,1995,34,34,3060,34.0,55,1.62,165,110,69.7,13,7,14,9,26.5,5,5,0,0,0.0,player_goalkeeping_ligamx.csv
41,Camilo Vargas,co COL,GK,Atlas,,36-057,1989,31,31,2790,31.0,52,1.68,151,99,67.5,8,11,12,7,22.6,4,3,1,0,25.0,player_goalkeeping_ligamx.csv
42,Tiago Volpi,br BRA,GK,Toluca,,34-137,1990,19,19,1710,19.0,19,1.00,87,68,79.3,11,6,2,6,31.6,1,1,0,0,0.0,player_goalkeeping_ligamx.csv
1,Andrew,br BRA,GK,Gil Vicente FC,,23-308,2001,32,32,2880,32.0,45,1.41,121,77,67.8,8,8,16,7,21.9,7,6,0,1,0.0,player_goalkeeping_ligaportugal.csv
2,Gabriel Batista,br BRA,GK,Santa Clara,,26-336,1998,32,32,2880,32.0,30,0.94,108,77,75.0,15,6,11,11,34.4,5,3,1,1,25.0,player_goalkeeping_ligaportugal.csv
3,Ricardo Batista,pt POR,GK,Casa Pia,,38-167,1986,1,1,90,1.0,1,1.00,2,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
4,Simão Bertelli,br BRA,GK,AVS Futebol,,31-337,1993,11,11,990,11.0,15,1.36,57,41,77.2,1,6,4,2,18.2,3,2,1,0,33.3,player_goalkeeping_ligaportugal.csv
5,Bruno Brigido,br BRA,GK,Estrela,,34-057,1991,18,18,1575,17.5,30,1.71,83,54,66.3,4,4,10,1,5.6,2,2,0,0,0.0,player_goalkeeping_ligaportugal.csv
6,Lazar Carević,me MNE,GK,Famalicão,,26-050,1999,18,18,1620,18.0,21,1.17,73,52,75.3,7,4,7,7,38.9,4,3,1,0,25.0,player_goalkeeping_ligaportugal.csv
7,César,br BRA,GK,Boavista,,33-098,1992,16,16,1440,16.0,30,1.87,79,51,65.8,1,4,11,2,12.5,3,3,0,0,0.0,player_goalkeeping_ligaportugal.csv
8,Kevin Chamorro,cr CRC,GK,Estoril,,25-027,2000,3,3,270,3.0,3,1.00,9,6,77.8,1,1,1,1,33.3,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
9,Diogo Costa,pt POR,GK,Porto,,25-228,1999,30,30,2700,30.0,26,0.87,76,50,71.1,19,5,6,15,50.0,5,4,1,0,20.0,player_goalkeeping_ligaportugal.csv
10,João Paulo Santos Costa,pt POR,GK,Estrela,,29-092,1996,11,11,990,11.0,10,0.91,40,29,80.0,3,3,5,4,36.4,3,2,1,0,33.3,player_goalkeeping_ligaportugal.csv
11,Rui Encarnação,pt POR,GK,Nacional,,27-030,1998,1,0,45,0.5,1,2.00,3,2,100.0,0,0,0,0,,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
12,Daniel Figueira,pt POR,GK,Estoril,,26-289,1998,1,1,90,1.0,4,4.00,7,3,57.1,0,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
13,Lucas França,br BRA,GK,Nacional,,29-106,1996,32,32,2835,31.5,43,1.37,142,99,74.6,9,6,17,8,25.0,9,7,0,2,0.0,player_goalkeeping_ligaportugal.csv
14,João Gonçalves,pt POR,GK,Boavista,,24-181,2000,4,4,360,4.0,2,0.50,8,6,75.0,1,1,2,2,50.0,0,0,0,0,,player_goalkeeping_ligaportugal.csv
15,Marko Gudžulić,rs SRB,GK,Estrela,,22-304,2002,2,2,180,2.0,3,1.50,9,6,66.7,0,1,1,1,50.0,1,0,1,0,100.0,player_goalkeeping_ligaportugal.csv
16,Lukáš Horníček,cz CZE,GK,Braga,,22-296,2002,15,15,1350,15.0,8,0.53,53,45,86.8,10,4,1,8,53.3,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
17,Franco Israel,uy URU,GK,Sporting CP,,25-013,2000,11,11,990,11.0,9,0.82,25,16,64.0,9,2,0,7,63.6,0,0,0,0,,player_goalkeeping_ligaportugal.csv
18,Jhonatan,br BRA,GK,Rio Ave,,33-362,1991,8,8,720,8.0,13,1.62,43,30,69.8,2,2,4,2,25.0,0,0,0,0,,player_goalkeeping_ligaportugal.csv
19,Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,,24-111,2001,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_ligaportugal.csv
20,Kaique,br BRA,GK,Farense,,22-019,2003,4,4,360,4.0,3,0.75,12,8,75.0,2,0,2,1,25.0,1,0,1,0,100.0,player_goalkeeping_ligaportugal.csv
21,Kewin,br BRA,GK,Moreirense,,29-192,1995,29,29,2610,29.0,42,1.45,114,72,65.8,9,7,13,6,20.7,3,3,0,0,0.0,player_goalkeeping_ligaportugal.csv
22,Vladen Kovačević,ba BIH,GK,Sporting CP,,27-024,1998,6,6,540,6.0,5,0.83,16,11,68.8,4,0,2,2,33.3,0,0,0,0,,player_goalkeeping_ligaportugal.csv
23,Nico Mantl,de GER,GK,Arouca,,25-088,2000,29,29,2610,29.0,43,1.48,120,79,70.8,8,8,13,7,24.1,8,8,0,0,0.0,player_goalkeeping_ligaportugal.csv
24,Matheus,br BRA,GK,Braga,,32-290,1992,17,17,1530,17.0,19,1.12,65,47,73.8,9,4,4,7,41.2,2,2,0,0,0.0,player_goalkeeping_ligaportugal.csv
25,Francisco Meixedo,pt POR,GK,Estrela,,23-351,2001,1,0,45,0.5,0,0.00,3,3,100.0,0,0,0,1,,0,0,0,0,,player_goalkeeping_ligaportugal.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_ligaportugal.csv
26,Cezary Miszta,pl POL,GK,Rio Ave,,23-187,2001,23,23,2070,23.0,38,1.65,116,82,69.8,6,7,10,2,8.7,3,3,0,0,0.0,player_goalkeeping_ligaportugal.csv
27,Guillermo Ochoa,mx MEX,GK,AVS Futebol,,39-296,1985,20,20,1800,20.0,40,2.00,102,63,61.8,3,6,11,5,25.0,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
28,Cláudio Ramos,pt POR,GK,Porto,,33-170,1991,2,2,180,2.0,3,1.50,8,5,75.0,1,0,1,0,0.0,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
29,Joel Robles,es ESP,GK,Estoril,,34-322,1990,28,28,2520,28.0,44,1.57,127,82,69.3,10,8,10,5,17.9,6,5,1,0,16.7,player_goalkeeping_ligaportugal.csv
30,Caio Secco,br BRA,GK,Moreirense,,34-134,1990,3,3,270,3.0,6,2.00,15,9,73.3,0,2,1,0,0.0,2,2,0,0,0.0,player_goalkeeping_ligaportugal.csv
31,Patrick Sequeira,cr CRC,GK,Casa Pia,,26-065,1999,31,31,2790,31.0,40,1.29,152,113,77.6,11,9,11,7,22.6,7,6,0,1,0.0,player_goalkeeping_ligaportugal.csv
32,Rui Silva,pt POR,GK,Sporting CP,,31-087,1994,15,15,1350,15.0,12,0.80,31,21,74.2,11,4,0,5,33.3,4,4,0,0,0.0,player_goalkeeping_ligaportugal.csv
33,Samuel Soares,pt POR,GK,Benfica,,22-324,2002,2,2,180,2.0,0,0.00,5,4,100.0,2,0,0,2,100.0,1,0,1,0,100.0,player_goalkeeping_ligaportugal.csv
34,Tomé,pt POR,GK,Boavista,,18-140,2006,2,2,180,2.0,5,2.50,10,5,50.0,0,1,1,0,0.0,0,0,0,0,,player_goalkeeping_ligaportugal.csv
35,Anatolii Trubin,ua UKR,GK,Benfica,,23-277,2001,30,30,2700,30.0,26,0.87,90,63,72.2,23,3,4,13,43.3,2,1,1,0,50.0,player_goalkeeping_ligaportugal.csv
36,Tomáš Vaclík,cz CZE,GK,Boavista,,36-037,1989,9,9,810,9.0,15,1.67,57,43,78.9,3,0,6,3,33.3,3,3,0,0,0.0,player_goalkeeping_ligaportugal.csv
37,João Valido,pt POR,GK,Arouca,,25-063,2000,3,3,270,3.0,4,1.33,10,6,70.0,0,2,1,1,33.3,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
38,Bruno Varela,cv CPV,GK,Vitória,,30-182,1994,32,32,2880,32.0,33,1.03,91,58,69.2,14,12,6,13,40.6,6,5,0,1,0.0,player_goalkeeping_ligaportugal.csv
39,Ricardo Velho,pt POR,GK,Farense,,26-258,1998,28,28,2520,28.0,40,1.43,126,88,73.0,3,9,16,6,21.4,7,6,0,1,0.0,player_goalkeeping_ligaportugal.csv
40,Ivan Zlobin,ru RUS,GK,Famalicão,,28-059,1997,13,13,1170,13.0,15,1.15,57,42,75.4,3,7,3,5,38.5,1,1,0,0,0.0,player_goalkeeping_ligaportugal.csv
1,Jak Alnwick,eng ENG,GK,Cardiff City,,31-321,1993,29,29,2610,29.0,45,1.55,126,81,66.7,7,11,11,5,17.2,4,3,1,0,25.0,player_goalkeeping_efl_championship.csv
2,Jordan Archer,sct SCO,GK,Portsmouth,,32-022,1993,2,1,150,1.7,2,1.20,11,9,81.8,0,0,1,0,0.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
3,Daniel Bachmann,at AUT,GK,Watford,,30-299,1994,22,22,1902,21.1,28,1.32,87,59,67.8,9,4,9,5,22.7,1,0,1,0,100.0,player_goalkeeping_efl_championship.csv
4,James Beadle,eng ENG,GK,Sheffield Weds,,20-292,2004,38,38,3420,38.0,59,1.55,140,80,60.7,14,9,15,9,23.7,5,4,1,0,20.0,player_goalkeeping_efl_championship.csv
5,Jonathan Bond,eng ENG,GK,Watford,,31-350,1993,9,8,798,8.9,14,1.58,43,29,67.4,3,1,4,1,12.5,0,0,0,0,,player_goalkeeping_efl_championship.csv
6,Solomon Brynn,eng ENG,GK,Middlesbrough,,24-186,2000,6,6,509,5.7,9,1.59,25,16,64.0,3,2,1,1,16.7,0,0,0,0,,player_goalkeeping_efl_championship.csv
7,Pierce Charles,nir NIR,GK,Sheffield Weds,,19-287,2005,8,8,720,8.0,10,1.25,30,19,66.7,1,4,3,0,0.0,1,0,1,0,100.0,player_goalkeeping_efl_championship.csv
8,Bradley Collins,eng ENG,GK,Coventry City,,28-075,1997,15,14,1313,14.6,23,1.58,53,30,56.6,4,4,6,3,21.4,0,0,0,0,,player_goalkeeping_efl_championship.csv
9,Michael Cooper,eng ENG,GK,Sheffield Utd,,25-208,1999,43,43,3870,43.0,33,0.77,142,109,79.6,27,6,10,21,48.8,5,4,1,0,20.0,player_goalkeeping_efl_championship.csv
10,David Cornell,wls WAL,GK,Preston,,34-037,1991,10,9,811,9.0,16,1.78,36,20,63.9,0,4,5,1,11.1,3,3,0,0,0.0,player_goalkeeping_efl_championship.csv
11,Jamie Cumming,eng ENG,GK,Oxford United,,25-242,1999,45,45,4050,45.0,62,1.38,201,139,70.1,13,13,19,13,28.9,4,2,2,0,50.0,player_goalkeeping_efl_championship.csv
12,Karl Darlow,wls WAL,GK,Leeds United,,34-208,1990,7,7,630,7.0,3,0.43,11,9,72.7,6,1,0,4,57.1,0,0,0,0,,player_goalkeeping_efl_championship.csv
13,Adam Davies,wls WAL,GK,Sheffield Utd,,32-291,1992,3,3,270,3.0,3,1.00,7,4,57.1,1,2,0,1,33.3,0,0,0,0,,player_goalkeeping_efl_championship.csv
14,Seny Dieng,sn SEN,GK,Middlesbrough,,30-162,1994,17,17,1530,17.0,21,1.24,47,28,55.3,7,4,6,5,29.4,0,0,0,0,,player_goalkeeping_efl_championship.csv
15,Oliver Dovin,se SWE,GK,Coventry City,,22-297,2002,28,28,2467,27.4,30,1.09,95,68,69.5,14,5,9,8,28.6,1,1,0,0,0.0,player_goalkeeping_efl_championship.csv
16,George Evans,eng ENG,GK,Millwall,,19-353,2005,4,4,360,4.0,8,2.00,19,11,57.9,2,0,2,1,25.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
17,Tom Glover,au AUS,GK,Middlesbrough,,27-131,1997,7,6,571,6.3,6,0.95,13,7,53.8,2,2,2,3,50.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
18,Joshua Griffiths,eng ENG,GK,West Brom,,23-241,2001,6,6,540,6.0,11,1.83,26,15,57.7,2,1,3,1,16.7,0,0,0,0,,player_goalkeeping_efl_championship.csv
19,Daniel Grimshaw,eng ENG,GK,Plymouth Argyle,,27-108,1998,21,21,1890,21.0,49,2.33,124,75,62.9,4,5,12,1,4.8,3,3,0,0,0.0,player_goalkeeping_efl_championship.csv
20,Angus Gunn,sct SCO,GK,Norwich City,,29-102,1996,35,35,3104,34.5,42,1.22,123,83,69.1,14,11,10,7,20.0,4,4,0,0,0.0,player_goalkeeping_efl_championship.csv
21,Conor Hazard,nir NIR,GK,Plymouth Argyle,,27-060,1998,25,25,2250,25.0,39,1.56,122,85,68.9,7,8,10,2,8.0,1,1,0,0,0.0,player_goalkeeping_efl_championship.csv
22,Václav Hladký,cz CZE,GK,Burnley,,34-171,1990,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
23,Ethan Horvath,us USA,GK,Cardiff City,,29-329,1995,17,17,1530,17.0,28,1.65,67,42,58.2,2,6,9,3,17.6,0,0,0,0,,player_goalkeeping_efl_championship.csv
24,Matt Ingram,eng ENG,GK,Oxford United,,31-137,1993,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
25,Lukas Jensen,dk DEN,GK,Millwall,,26-047,1999,41,41,3689,41.0,41,1.00,132,94,69.7,15,12,14,13,31.7,3,1,1,1,50.0,player_goalkeeping_efl_championship.csv
Rk,Player,Nation,Pos,Squad,,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,player_goalkeeping_efl_championship.csv
26,Viktor Johansson,se SWE,GK,Stoke City,,26-232,1998,46,46,4140,46.0,62,1.35,209,151,71.8,12,15,19,14,30.4,5,3,1,1,25.0,player_goalkeeping_efl_championship.csv
27,Thomas Kaminski,be BEL,GK,Luton Town,,32-193,1992,45,45,3990,44.3,68,1.53,193,125,65.8,13,10,22,10,22.2,3,2,1,0,33.3,player_goalkeeping_efl_championship.csv
28,Ben Killip,eng ENG,GK,Portsmouth,,29-161,1995,2,2,180,2.0,2,1.00,9,7,77.8,0,2,0,0,0.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
29,George Long,eng ENG,GK,Norwich City,,31-180,1993,9,8,765,8.5,19,2.24,44,24,61.4,0,3,5,1,12.5,3,2,1,0,33.3,player_goalkeeping_efl_championship.csv
30,Illan Meslier,fr FRA,GK,Leeds United,,25-063,2000,39,39,3510,39.0,27,0.69,88,63,72.7,23,12,4,21,53.8,4,3,1,0,25.0,player_goalkeeping_efl_championship.csv
31,Simon Moore,eng ENG,GK,Sunderland,,34-350,1990,4,4,360,4.0,2,0.50,10,8,80.0,1,3,0,3,75.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
32,Paul Nardi,fr FRA,GK,QPR,,30-351,1994,45,45,4050,45.0,63,1.40,174,114,65.5,13,14,18,9,20.0,3,3,0,0,0.0,player_goalkeeping_efl_championship.csv
33,Will Norris,eng ENG,GK,Portsmouth,,31-265,1993,8,8,720,8.0,19,2.37,47,29,66.0,0,4,4,2,25.0,3,3,0,0,0.0,player_goalkeeping_efl_championship.csv
34,Max O'Leary,ie IRL,GK,Bristol City,,28-206,1996,46,46,4140,46.0,55,1.20,172,117,69.2,17,17,12,10,21.7,2,2,0,0,0.0,player_goalkeeping_efl_championship.csv
35,Alex Palmer,eng ENG,GK,West Brom,,28-267,1996,30,30,2700,30.0,27,0.90,101,77,74.3,10,14,6,11,36.7,1,1,0,0,0.0,player_goalkeeping_efl_championship.csv
36,Ivor Pandur,hr CRO,GK,Hull City,,25-040,2000,44,44,3960,44.0,52,1.18,168,117,71.4,11,13,20,6,13.6,6,4,1,1,20.0,player_goalkeeping_efl_championship.csv
37,Anthony Patterson,eng ENG,GK,Sunderland,,24-359,2000,42,42,3780,42.0,42,1.00,128,90,70.3,20,10,12,14,33.3,5,4,1,0,20.0,player_goalkeeping_efl_championship.csv
38,Aynsley Pears,eng ENG,GK,Blackburn,,27-011,1998,40,40,3600,40.0,43,1.07,153,109,73.9,15,8,17,13,32.5,4,3,1,0,25.0,player_goalkeeping_efl_championship.csv
39,Vicente Reyes,cl CHI,GK,Norwich City,,21-166,2003,4,3,271,3.0,7,2.32,12,5,41.7,0,1,2,0,0.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
40,Liam Roberts,eng ENG,GK,Millwall,,30-164,1994,2,1,91,1.0,0,0.00,3,3,100.0,1,0,0,2,200.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
41,Carl Rushworth,eng ENG,GK,Hull City,,23-306,2001,2,2,180,2.0,2,1.00,4,2,50.0,1,0,1,1,50.0,0,0,0,0,,player_goalkeeping_efl_championship.csv
42,Nicolas Schmid,at AUT,GK,Portsmouth,,28-071,1997,35,35,3090,34.3,48,1.40,144,100,67.4,14,6,15,8,22.9,1,1,0,0,0.0,player_goalkeeping_efl_championship.csv
