Rk,Player,Nation,Pos,Squad,Comp,AGE,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%_PK
40,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,26.18630137,1999,23,23,2001,22.2,24,1.08,72,48,68.1,17,5,1,4,17.4,1,1,0,0,0
41,Patrick Drewes,de GER,GK,Bochum,de Bundesliga,32.24383562,1993,21,21,1890,21,46,2.19,99,51,56.6,2,5,14,2,9.5,5,3,2,0,40
42,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,36.29863014,1989,10,10,900,10,12,1.2,41,29,70.7,7,0,3,5,50,0,0,0,0,
43,Ederson,br BRA,GK,Manchester City,eng Premier League,31.71232877,1993,23,23,2050,22.8,25,1.1,73,49,68.5,14,3,6,8,34.8,2,2,0,0,0
44,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,40.04383562,1985,13,12,1070,11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0
45,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30.06027397,1995,35,35,3150,35,57,1.63,168,113,70.8,6,9,20,7,20,10,8,1,1,11.1
46,Frank Feller,de GER,GK,Heidenheim,de Bundesliga,21.32054795,2004,1,0,31,0.3,0,0,1,1,100,0,0,0,1,,0,0,0,0,
47,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34.00273973,1991,1,1,90,1,0,0,5,5,100,0,1,0,1,100,0,0,0,0,
48,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,27.05753425,1998,8,7,657,7.3,12,1.64,29,17,65.5,2,1,4,3,42.9,2,2,0,0,0
49,André Ferreira,pt POR,GK,Valladolid,es La Liga,28.93150685,1996,5,5,450,5,18,3.6,35,17,57.1,0,0,5,0,0,3,3,0,0,0
50,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31.89041096,1993,33,33,2915,32.4,48,1.48,181,135,74,14,7,12,6,18.2,1,1,0,0,0
51,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24.70136986,2000,31,31,2790,31,50,1.61,180,130,73.9,8,6,17,6,19.4,4,3,0,1,0
52,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,37.13150685,1988,7,7,630,7,15,2.14,42,27,69,1,2,4,1,14.3,2,2,0,0,0
53,Fran,es ESP,GK,Real Madrid,es La Liga,19.86027397,2005,1,1,90,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,
54,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,32.03013699,1993,1,0,45,0.5,0,0,0,0,,0,0,0,0,,0,0,0,0,
55,Joan García,es ESP,GK,Espanyol,es La Liga,24,2001,33,33,2970,33,42,1.27,166,122,77.1,10,9,14,7,21.2,6,4,2,0,33.3
56,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33.33424658,1992,33,33,2925,32.5,50,1.54,133,81,63.9,9,8,16,6,18.2,5,2,3,0,60
57,David de Gea,es ESP,GK,Fiorentina,it Serie A,34.48767123,1990,31,31,2790,31,31,1,121,89,75.2,17,5,9,11,35.5,3,1,2,0,66.7
58,Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,30.12876712,1995,7,7,630,7,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25
59,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,34.74520548,1990,13,13,1170,13,27,2.08,72,46,66.7,3,4,6,1,7.7,3,3,0,0,0
60,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26.31780822,1999,27,27,2405,26.7,47,1.76,127,80,64.6,8,6,13,4,14.8,3,2,1,0,33.3
61,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,28.07671233,1997,27,27,2430,27,30,1.11,91,62,69.2,10,7,10,6,22.2,2,2,0,0,0
62,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,38.31232877,1987,29,29,2610,29,40,1.38,104,64,63.5,11,7,11,7,24.1,2,2,0,0,0
63,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34.99452055,1990,28,28,2451,27.2,36,1.32,125,88,72.8,12,10,6,13,46.4,3,2,1,0,33.3
64,Kjetil Haug,no NOR,GK,Toulouse,fr Ligue 1,26.89315068,1998,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20,0,0,0,0,
65,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28.14520548,1997,34,34,3060,34,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50
66,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24.81369863,2000,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25
67,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,31.91232877,1993,33,33,2970,33,50,1.52,161,112,72.7,10,13,10,6,18.2,6,6,0,0,0
68,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,26.15068493,1999,9,7,725,8.1,14,1.74,39,25,64.1,2,0,5,1,14.3,1,0,1,0,100
69,Timo Horn,de GER,GK,Bochum,de Bundesliga,31.97808219,1993,11,11,990,11,18,1.64,45,27,60,2,3,6,2,18.2,1,0,0,1,
70,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,35.44109589,1989,27,27,2430,27,32,1.19,107,78,72.9,16,10,1,6,22.2,3,3,0,0,0
71,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,23.05753425,2002,28,28,2520,28,63,2.25,148,86,59.5,4,4,20,5,17.9,3,3,0,0,0
72,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23.78082192,2001,1,0,12,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,
73,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35.2630137,1990,3,3,270,3,6,2,22,16,77.3,1,1,1,0,0,1,1,0,0,0
74,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32.10958904,1993,7,7,630,7,17,2.43,39,23,61.5,0,1,6,0,0,2,2,0,0,0
75,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,32.12054795,1993,8,7,703,7.8,15,1.92,40,27,70,1,1,5,2,28.6,3,3,0,0,0
76,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24.30136986,2001,14,13,1188,13.2,16,1.21,51,35,76.5,6,4,3,3,23.1,4,4,0,0,0
77,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23.04931507,2002,6,6,540,6,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0
78,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,26.44383562,1998,10,10,900,10,12,1.2,37,24,67.6,7,2,1,4,40,1,0,1,0,100
79,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,22.14246575,2003,4,4,360,4,7,1.75,16,11,56.3,1,0,3,1,25,0,0,0,0,
80,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27.40821918,1997,30,30,2700,30,45,1.5,117,72,65,14,6,10,6,20,4,4,0,0,0
81,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,28.54794521,1996,5,5,450,5,8,1.6,26,18,76.9,1,0,4,0,0,2,2,0,0,0
82,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27.08767123,1998,17,17,1530,17,15,0.88,54,39,74.1,10,5,2,7,41.2,1,1,0,0,0
83,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24.96438356,2000,4,4,360,4,3,0.75,13,10,76.9,3,0,1,3,75,0,0,0,0,
84,Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,25.56438356,1999,15,15,1350,15,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0
85,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,26.27671233,1999,12,12,1080,12,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0
86,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,28.19178082,1997,31,31,2790,31,74,2.39,195,121,68.7,6,6,19,3,9.7,15,13,2,0,13.3
87,Nicola Leali,it ITA,GK,Genoa,it Serie A,32.20821918,1993,27,27,2430,27,26,0.96,100,75,77,8,10,9,10,37,4,3,1,0,25
88,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,34.02191781,1991,27,27,2430,27,61,2.26,154,95,63.6,3,4,20,1,3.7,6,5,1,0,16.7
