Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
976,Gonzalo Zelarayán,ar ARG,MF,Belgrano,21-007,2004,1,13,13,0.9,0.1,0,,0,1,13,4,0.00,0,0,0,0.00,+0.63,0.0,0.3,-0.3,-1.84,-1.82,Matches
977,Lucas Zelarayán,am ARM,MF,Belgrano,32-319,1992,11,812,74,56.4,9.0,9,83,7,2,33,0,0.91,7,14,-7,-0.78,-0.35,9.4,9.5,-0.2,-0.02,+0.04,Matches
978,Máximiliano Zelaya,ar ARG,DF,San Lorenzo,28-032,1997,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
979,Felipe Zenobio,ar ARG,GK,Tigre,24-348,2000,16,1440,90,100.0,16.0,16,90,16,0,,0,1.69,18,12,+6,+0.37,,19.2,14.9,+4.3,+0.27,,Matches
980,Kevin Zenon,ar ARG,"MF,FW",Boca Juniors,23-279,2001,14,827,59,57.4,9.2,9,82,4,5,19,1,2.07,15,8,+7,+0.76,-0.12,12.3,9.3,+3.0,+0.33,+0.08,Matches
981,Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,23-328,2001,2,180,90,12.5,2.0,2,90,2,0,,6,0.00,1,3,-2,-1.00,-1.07,3.3,1.8,+1.5,+0.74,+0.64,Matches
982,Bruno Zuculini,ar ARG,MF,Racing Club,32-033,1993,4,206,52,14.3,2.3,2,71,1,2,33,3,2.25,6,1,+5,+2.18,+1.82,6.0,1.1,+4.9,+2.14,+2.28,Matches
983,Demian Troya,,,Platense,,,0,,,,,0,,0,0,,0,,,,,,,,,,,,Matches
984,Valentino Simoni,,,Boca Juniors,,,0,,,,,0,,0,0,,0,,,,,,,,,,,,Matches
