Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
42,Esteban Andrada,ar ARG,GK,Monterrey,34-099,1991,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Alejandro Andrade,mx MEX,"DF,MF",Necaxa,23-262,2001,5.7,0,2,1,50.0,0.35,0.17,0.00,0.00,22.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
44,Luis Ángel Malagón,mx MEX,GK,América,28-064,1997,28.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Brayan Angulo,co COL,"DF,MF",Puebla,35-184,1989,28.1,0,20,4,20.0,0.71,0.14,0.00,0.00,18.5,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
46,Jesús Angulo,mx MEX,"MF,FW",Toluca,28-074,1997,20.1,8,44,21,47.7,2.18,1.04,0.18,0.38,21.0,1,0,0,5.7,5.7,0.13,+2.3,+2.3,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,32-305,1992,20.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
48,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,27-257,1997,2.6,0,6,4,66.7,2.34,1.56,0.00,0.00,12.7,0,0,0,1.2,1.2,0.21,-1.2,-1.2,Matches
49,Uriel Antuna,mx MEX,"FW,MF",UANL,27-257,1997,8.7,0,22,7,31.8,2.52,0.80,0.00,0.00,15.5,0,0,0,2.1,2.1,0.09,-2.1,-2.1,Matches
50,Javier Aquino,mx MEX,DF,UANL,35-083,1990,29.0,0,7,1,14.3,0.24,0.03,0.00,0.00,24.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Pedro Aquino,pe PER,MF,Santos,30-022,1995,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,15.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
52,Diego Araujo,mx MEX,MF,Querétaro,22-076,2003,1.2,0,1,0,0.0,0.83,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
53,Maximiliano Araújo,uy URU,FW,Toluca,25-079,2000,1.1,1,4,1,25.0,3.50,0.87,0.25,1.00,17.0,0,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches
54,Néstor Araujo,mx MEX,DF,América,33-249,1991,13.4,0,10,4,40.0,0.74,0.30,0.00,0.00,14.9,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
55,Fernando Arce Jr.,us USA,"MF,FW",Puebla,28-159,1996,2.2,0,2,0,0.0,0.91,0.00,0.00,,28.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
