Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
45,Steven Bergwijn,nl NED,FW,Ajax,27-209,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,7,0.00,0.00,0.00,0.00,0.00,0.37,0.17,0.54,0.37,0.54,Matches
46,Gijs Besselink,nl NED,MF,Twente,20-323,2004,13,3,321,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,3,12,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
47,Daniel Bielica,pl POL,GK,NAC Breda,26-005,1999,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Adrian Blake,eng ENG,"FW,MF",Utrecht,19-294,2005,14,1,348,3.9,3,2,5,3,0,0,1,0,0.5,0.5,1.9,2.3,12,13,38,0.78,0.52,1.29,0.78,1.29,0.13,0.48,0.61,0.13,0.61,Matches
50,Thijmen Blokzijl,nl NED,DF,Groningen,20-069,2005,25,22,1956,21.7,0,0,0,0,0,0,1,1,0.1,0.1,0.0,0.1,8,62,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Paweł Bochniewicz,pl POL,DF,Heerenveen,29-095,1996,13,13,1109,12.3,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.9,8,62,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
52,Jeremy Bokila,cd COD,FW,Willem II,36-172,1988,27,12,1275,14.2,2,1,3,1,1,1,7,1,3.0,2.2,0.7,2.9,11,23,48,0.14,0.07,0.21,0.07,0.14,0.21,0.05,0.26,0.15,0.20,Matches
53,Ruben van Bommel,nl NED,FW,AZ Alkmaar,20-275,2004,21,14,1270,14.1,2,3,5,2,0,0,3,0,3.9,3.9,2.6,6.5,38,60,103,0.14,0.21,0.35,0.14,0.35,0.28,0.18,0.46,0.28,0.46,Matches
