Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
744,Alexis Soto,ar ARG,DF,Defensa y Just,31-197,1993,13.5,38,2.82,30,3,3,1,0,1,4,0.30,3,0,1,0,0,0,Matches
745,Pedro Souto,ar ARG,DF,Ind. Rivadavia,25-000,2000,3.7,4,1.07,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
746,Adrián Sporle,ar ARG,DF,Independiente,29-296,1995,8.0,13,1.62,9,1,1,2,0,0,3,0.37,2,0,0,1,0,0,Matches
747,Sheyko Studer,ar ARG,DF,Ind. Rivadavia,22-174,2002,14.6,4,0.27,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
748,Facundo Suárez,ar ARG,FW,Instituto,30-308,1994,3.8,6,1.59,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
749,Ian Subiabre,ar ARG,FW,River Plate,18-124,2007,2.5,7,2.81,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
750,Leandro Suhr,uy URU,"MF,FW",Sarmiento,27-223,1997,8.4,21,2.51,10,3,2,0,5,1,2,0.24,0,0,0,0,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
751,Gastón Suso,ar ARG,DF,Gimnasia–LP,34-054,1991,13.2,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
752,Alejo Tabares,ar ARG,"DF,MF",Newell's OB,23-319,2001,6.9,9,1.30,8,1,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
753,Enzo Taborda,ar ARG,FW,Independiente,19-350,2005,1.0,3,3.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
754,Vicente Taborda,ar ARG,"FW,MF",Platense,23-323,2001,13.2,46,3.55,32,12,0,0,2,0,2,0.15,1,1,0,0,0,0,Matches
755,Matías Tagliamonte,ar ARG,GK,Unión,27-075,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
756,Gonzalo Tapia,cl CHI,"FW,MF",River Plate,23-076,2002,1.8,2,1.13,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
757,Ignacio Tapia,ar ARG,FW,Barracas Central,20-246,2004,0.1,1,12.86,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
758,Iván Tapia,ar ARG,MF,Barracas Central,26-163,1998,10.8,28,2.58,10,13,0,3,2,0,1,0.09,0,1,0,0,0,0,Matches
759,Cristian Tarragona,ar ARG,"FW,MF",Talleres,34-026,1991,2.8,7,2.16,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
760,Diego Tarzia,ar ARG,"FW,MF",Independiente,22-009,2003,10.7,26,2.42,19,1,1,3,1,1,1,0.09,1,0,0,0,0,0,Matches
761,Renzo Tesuri,ar ARG,MF,Atlé Tucumán,28-332,1996,2.0,8,3.98,6,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
762,Horacio Tijanovich,ar ARG,"MF,FW",San Martín de San Juan,29-066,1996,3.1,9,2.89,4,0,1,0,4,0,0,0.00,0,0,0,0,0,0,Matches
763,Fabricio Tirado,ar ARG,"MF,DF",Newell's OB,20-229,2004,0.7,4,5.71,2,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
764,Matías Tissera,ar ARG,FW,Huracán,28-241,1996,3.7,4,1.07,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
765,Fernando Tobio,ar ARG,DF,Barracas Central,35-199,1989,14.0,2,0.14,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
