Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,19-192,2005,3.3,80,75,5,0,0,0,7,5,0,0,0,0,58,0,4,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-129,2000,13.4,411,305,102,36,0,0,0,0,0,0,0,0,281,4,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-084,2002,18.5,954,923,26,22,4,5,10,4,0,0,0,0,784,5,15,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-219,1999,17.8,735,593,140,5,0,2,45,135,0,0,0,0,586,2,23,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,29-003,1996,4.8,242,224,17,10,1,3,12,3,3,1,1,0,188,1,5,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-227,2002,0.1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,29-035,1996,18.6,1295,1236,53,38,0,33,2,3,0,0,0,0,1132,6,10,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,32-008,1993,11.6,794,664,125,10,2,4,41,115,0,0,0,0,638,5,28,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,23-036,2002,0.6,22,22,0,0,0,0,1,0,0,0,0,0,17,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,17-070,2008,1.9,45,40,5,0,0,0,3,4,1,1,0,0,32,0,2,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-202,2001,0.5,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,31-045,1994,21.8,764,753,9,9,2,2,2,0,0,0,0,0,644,2,9,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-217,1995,6.0,360,347,13,7,0,1,0,1,0,0,0,0,323,0,3,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-217,1995,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-313,2005,1.4,29,29,0,0,0,0,1,0,0,0,0,0,17,0,1,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-208,1996,29.4,1184,943,239,15,0,3,46,224,0,0,0,0,868,2,40,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-332,2001,31.8,1560,1264,292,41,3,4,86,225,26,21,1,0,1309,4,41,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-205,2004,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-017,1998,15.5,618,549,68,2,0,3,14,66,0,0,0,0,483,1,15,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-068,1994,25.0,590,579,8,0,1,11,5,1,0,0,0,0,404,3,13,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-289,1995,19.4,1520,1484,35,18,4,9,11,10,0,0,0,0,1427,1,5,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-210,2003,5.5,343,312,31,8,1,3,3,20,0,0,0,0,269,0,9,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-075,1995,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-018,2004,6.5,185,177,7,2,1,2,18,2,3,2,0,0,136,1,7,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-139,1997,26.5,1111,923,183,24,0,1,87,146,11,9,0,0,905,5,18,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-068,2002,25.6,1179,1127,42,10,8,7,53,15,17,11,2,0,957,10,34,Matches
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,27-135,1997,0.2,15,15,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-161,2001,24.9,1059,964,92,48,0,36,23,40,1,1,0,0,870,3,20,Matches
70,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-205,1992,6.7,222,207,15,2,0,0,5,13,0,0,0,0,174,0,6,Matches
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,23-079,2002,0.5,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-015,1995,22.7,1290,1202,84,42,1,5,12,14,0,0,0,0,1126,4,10,Matches
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,29-207,1995,5.8,77,67,9,0,0,0,1,0,0,0,0,0,53,1,7,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-314,1992,3.5,228,214,13,4,0,2,3,2,0,0,0,0,206,1,2,Matches
75,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,35-042,1990,0.7,29,28,1,0,0,0,0,0,0,0,0,0,15,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
76,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-242,1985,13.2,813,778,33,25,1,4,0,0,0,0,0,0,727,2,3,Matches
77,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-155,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0,Matches
78,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,22-155,2002,6.4,233,221,11,2,1,2,10,5,3,2,1,0,184,1,10,Matches
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-129,1996,30.4,1048,969,66,60,3,28,6,0,0,0,0,0,693,13,13,Matches
80,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-119,1998,5.0,117,105,12,6,0,0,6,1,1,1,0,0,93,0,1,Matches
81,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-119,1998,8.5,359,344,15,6,2,0,24,2,6,5,0,0,272,0,15,Matches
82,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,de Bundesliga,24-146,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-209,1998,24.9,1843,1553,280,57,9,31,142,175,48,31,10,1,1357,10,35,Matches
84,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,26-000,1999,12.7,327,322,4,1,0,2,34,3,0,0,0,0,236,1,22,Matches
85,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-105,2004,17.9,471,446,23,3,9,2,50,0,9,4,4,0,331,2,22,Matches
86,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-290,2001,0.8,20,18,2,1,0,0,3,0,1,1,0,0,16,0,0,Matches
87,Alisson,br BRA,GK,Liverpool,eng Premier League,32-214,1992,23.9,758,658,98,33,1,0,0,0,0,0,0,0,630,2,0,Matches
88,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-073,1999,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
89,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-066,1995,17.8,443,433,9,1,2,1,31,4,2,0,2,0,331,1,11,Matches
90,Dele Alli,eng ENG,MF,Como,it Serie A,29-023,1996,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
91,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,24-008,2001,7.7,530,481,43,12,3,8,28,5,24,13,5,0,463,6,4,Matches
92,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-339,2000,19.5,824,742,74,23,4,4,56,9,29,6,16,0,699,8,13,Matches
93,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,21-000,2004,0.5,32,30,2,0,0,0,4,2,0,0,0,0,23,0,2,Matches
94,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,31-083,1994,1.7,66,64,1,0,1,0,0,1,0,0,0,0,54,1,2,Matches
95,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-298,1999,12.4,297,290,6,1,0,0,11,5,0,0,0,0,215,1,11,Matches
96,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-127,1990,26.0,2117,1978,136,68,2,22,36,46,14,10,2,0,1882,3,21,Matches
97,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-268,1998,8.4,389,319,68,13,0,2,7,55,0,0,0,0,283,2,2,Matches
98,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,24-037,2001,14.1,461,385,74,3,2,3,17,71,0,0,0,0,361,2,8,Matches
99,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-252,2001,18.5,1045,1025,19,16,4,13,4,3,0,0,0,0,923,1,17,Matches
100,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-192,1997,18.1,890,868,15,11,3,11,6,3,0,0,0,0,763,7,10,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
101,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-306,2003,16.0,937,786,146,16,0,2,31,120,10,4,1,0,737,5,29,Matches
102,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-093,2000,25.2,858,785,71,8,8,10,60,6,38,16,11,0,643,2,27,Matches
103,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-100,1995,17.8,1047,995,48,37,1,16,3,2,0,0,0,0,881,4,12,Matches
104,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23-000,2002,2.6,91,90,0,0,0,0,0,0,0,0,0,0,68,1,3,Matches
105,Will Alves,eng ENG,FW,Leicester City,eng Premier League,20-090,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
106,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,28-170,1996,14.0,377,329,43,16,3,4,31,1,18,8,8,0,295,5,9,Matches
107,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,18-049,2007,1.8,93,73,20,2,0,0,4,18,0,0,0,0,77,0,1,Matches
108,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-292,1996,3.9,98,95,3,0,1,2,6,3,0,0,0,0,75,0,6,Matches
109,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,31-056,1994,8.8,526,428,96,9,0,2,15,87,0,0,0,0,386,2,13,Matches
110,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-277,2003,1.0,66,63,3,1,0,3,0,1,0,0,0,0,58,0,1,Matches
111,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-085,1998,22.3,820,628,190,12,4,0,33,177,0,0,0,0,655,2,22,Matches
112,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-082,1996,24.1,1738,1560,174,39,1,0,34,134,0,0,0,0,1531,4,25,Matches
