Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
55,Jacob Bartlett,us USA,MF,Sporting KC,19-209,2005,7,7,527,5.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
56,Lucas Bartlett,us USA,DF,D.C. United,27-282,1997,10,10,900,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,2,28,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
57,Ethan Bartlow,us USA,DF,Houston Dynamo,25-091,2000,8,4,389,4.3,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,3,17,3,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.19,0.15,0.19,Matches
58,Cole Bassett,us USA,"MF,FW",Colorado Rapids,23-280,2001,10,10,848,9.4,1,1,2,1,0,0,2,0,2.4,2.4,0.4,2.9,27,59,42,0.11,0.11,0.21,0.11,0.21,0.26,0.05,0.30,0.26,0.30,Matches
59,Sam Bassett,us USA,MF,Colorado Rapids,22-021,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-158,1997,11,11,902,10.0,2,1,3,2,0,0,1,0,1.8,1.8,1.2,3.0,21,52,69,0.20,0.10,0.30,0.20,0.30,0.17,0.12,0.30,0.17,0.30,Matches
61,Zorhan Bassong,ca CAN,MF,Sporting KC,25-362,1999,7,3,280,3.1,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,5,17,8,0.32,0.00,0.32,0.32,0.32,0.03,0.01,0.04,0.03,0.04,Matches
62,Andy Batioja,co COL,FW,Houston Dynamo,19-093,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
63,Josh Bauer,us USA,DF,Nashville SC,26-286,1998,7,2,214,2.4,2,0,2,2,0,0,0,0,0.5,0.5,0.4,0.9,2,14,7,0.84,0.00,0.84,0.84,0.84,0.20,0.18,0.38,0.20,0.38,Matches
64,Timo Baumgartl,de GER,DF,St. Louis,29-061,1996,6,4,375,4.2,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2,6,1,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches
