Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
63,Víctor Arteaga,mx MEX,MF,Toluca,21-068,2004,9.2,17,1.85,13,0,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
64,Ali Ávila,mx MEX,"FW,MF",UNAM,21-224,2003,2.5,11,4.34,10,0,0,0,1,0,1,0.39,0,0,0,0,1,0,Matches
65,Ettson Ayon,mx MEX,FW,León,24-040,2001,5.8,10,1.73,4,1,2,1,2,0,2,0.35,1,0,0,0,1,0,Matches
66,Angel Azuaje,ve VEN,DF,UNAM,20-222,2004,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Tomás Badaloni,ar ARG,FW,Necaxa,25-003,2000,10.3,24,2.33,16,1,1,3,2,1,5,0.48,2,1,1,0,1,0,Matches
68,Claudio Baeza,cl CHI,"MF,DF",Toluca,31-133,1993,11.3,16,1.41,16,0,0,0,0,0,2,0.18,2,0,0,0,0,0,Matches
69,Kevin Balanta,co COL,DF,Tijuana,28-007,1997,7.6,6,0.79,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Fidel Barajas,mx MEX,"MF,FW",Guadalajara,19-030,2006,1.0,2,2.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,Víctor Barajas,mx MEX,DF,León,22-053,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Diego Barbosa,mx MEX,DF,Toluca,28-222,1996,10.8,17,1.58,12,3,1,0,0,1,3,0.28,1,2,0,0,0,0,Matches
73,Diego Barbosa,mx MEX,DF,Tijuana,28-222,1996,2.7,3,1.13,1,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
74,Jaine Barreiro,co COL,DF,León,30-320,1994,33.7,27,0.80,21,2,1,1,0,2,3,0.09,2,1,0,0,0,0,Matches
75,Pablo Barrera,mx MEX,"MF,FW",Querétaro,37-318,1987,23.4,64,2.74,37,21,2,3,1,0,3,0.13,1,1,0,1,0,0,Matches
