Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
762,Horacio Tijanovich,ar ARG,"MF,FW",San Martín de San Juan,29-066,1996,3.1,48,81,59.3,723,249,27,37,73.0,16,24,66.7,2,7,28.6,0,0.2,0.2,-0.2,1,5,4,1,10,Matches
763,Fabricio Tirado,ar ARG,"MF,DF",Newell's OB,20-229,2004,0.7,36,50,72.0,712,227,15,18,83.3,12,18,66.7,7,12,58.3,0,0.1,0.1,-0.1,2,6,1,0,5,Matches
764,Matías Tissera,ar ARG,FW,Huracán,28-241,1996,3.7,30,43,69.8,456,96,17,26,65.4,9,10,90.0,3,3,100.0,1,0.1,0.1,+0.9,3,2,1,0,5,Matches
765,Fernando Tobio,ar ARG,DF,Barracas Central,35-199,1989,14.0,235,369,63.7,6392,4124,48,59,81.4,119,139,85.6,65,164,39.6,0,0.0,0.6,0.0,0,10,0,0,3,Matches
766,Gastón Togni,ar ARG,FW,Defensa y Just,27-227,1997,9.8,183,272,67.3,3042,906,96,126,76.2,60,85,70.6,19,34,55.9,1,0.9,0.9,+0.1,16,8,16,10,16,Matches
767,Franco Toloza,ar ARG,FW,San Martín de San Juan,30-361,1994,5.9,44,94,46.8,644,192,24,52,46.2,17,27,63.0,1,5,20.0,0,0.2,0.3,-0.2,4,5,2,1,10,Matches
768,Santiago Toloza,ar ARG,"FW,MF",Platense,22-189,2002,0.6,32,43,74.4,446,105,19,23,82.6,12,14,85.7,0,3,0.0,0,0.2,0.1,-0.2,1,2,2,0,5,Matches
769,Diego Tonetto,ar ARG,MF,Ind. Rivadavia,36-151,1988,3.2,86,111,77.5,1359,465,45,51,88.2,33,40,82.5,6,10,60.0,0,0.1,0.0,-0.1,2,11,0,0,11,Matches
770,Elías Torres,ar ARG,FW,Aldosivi,24-039,2001,14.5,233,340,68.5,3577,906,115,156,73.7,84,114,73.7,17,22,77.3,2,1.4,1.2,+0.6,17,27,8,0,34,Matches
771,Gonzalo Trindade,ar ARG,"DF,MF",Cen. Córdoba–SdE,20-356,2004,1.8,61,86,70.9,862,241,38,42,90.5,21,30,70.0,1,6,16.7,0,0.0,0.0,0.0,2,4,0,0,2,Matches
772,Nicolás Tripichio,ar ARG,MF,San Lorenzo,29-120,1996,10.7,368,450,81.8,6450,1994,154,176,87.5,166,189,87.8,35,57,61.4,0,0.3,0.6,-0.3,3,28,3,1,29,Matches
773,Mariano Troilo,ar ARG,DF,Belgrano,21-317,2003,12.8,296,391,75.7,6419,2608,73,87,83.9,176,191,92.1,45,102,44.1,1,0.6,0.3,+0.4,2,21,1,1,27,Matches
774,Agustín Urzi,ar ARG,"FW,MF",Huracán,25-001,2000,4.5,85,115,73.9,1290,393,46,54,85.2,29,38,76.3,5,14,35.7,1,0.4,0.3,+0.6,7,8,5,0,13,Matches
775,Sebastián Valdez,ar ARG,DF,Independiente,29-180,1995,14.3,677,770,87.9,13071,4453,236,265,89.1,363,388,93.6,74,105,70.5,0,0.1,0.2,-0.1,2,28,1,0,66,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
776,Matías Valenti,ar ARG,DF,Ind. Rivadavia,22-244,2002,4.5,102,162,63.0,1771,1071,53,66,80.3,37,55,67.3,10,29,34.5,0,0.0,0.0,0.0,0,4,1,0,14,Matches
777,Jeremías Vallejos,ar ARG,DF,Sarmiento,22-021,2003,2.8,62,100,62.0,1314,586,21,27,77.8,30,39,76.9,10,29,34.5,0,0.0,0.0,0.0,0,10,1,1,9,Matches
