Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
50,Marcos Arturia,ar ARG,FW,Banfield,27-086,1998,5.2,9,4,0,4,5,3,7,42.9,4,2,0,2,1,10,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Santiago Arzamendia,py PAR,DF,Estudiantes–LP,27-000,1998,9.8,28,17,19,9,0,15,25,60.0,10,11,4,7,14,42,37,0,Matches
52,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,28-069,1997,13.0,35,25,13,18,4,16,34,47.1,18,7,0,7,9,44,25,0,Matches
53,Jorge de Asís,ar ARG,MF,Gimnasia–LP,19-096,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
54,Agustín Auzmendi,ar ARG,FW,Godoy Cruz,28-093,1997,2.9,2,2,0,2,0,0,3,0.0,3,2,1,1,0,2,3,0,Matches
55,Carlos Auzqui,ar ARG,MF,Atlé Tucumán,34-050,1991,6.0,18,14,8,8,2,9,18,50.0,9,10,1,9,8,26,7,0,Matches
56,Gabriel Ávalos,py PAR,FW,Independiente,34-205,1990,10.5,9,5,0,5,4,2,4,50.0,2,7,1,6,0,9,9,0,Matches
57,Elías Báez,ar ARG,DF,San Lorenzo,20-199,2004,15.2,38,26,17,15,6,16,33,48.5,17,21,4,17,18,56,69,0,Matches
58,Claudio Baeza,cl CHI,MF,Vélez Sarsfield,31-133,1993,3.5,17,11,7,10,0,10,18,55.6,8,1,0,1,5,22,14,0,Matches
59,Mateo Bajamich,ar ARG,"FW,MF",Atlé Tucumán,25-275,1999,7.8,6,4,5,0,1,5,9,55.6,4,5,0,5,0,6,8,0,Matches
60,Kevin Balanta,co COL,DF,Defensa y Just,28-007,1997,4.7,4,2,3,1,0,3,4,75.0,1,5,3,2,7,11,45,0,Matches
61,Adrián Balboa,uy URU,FW,Racing Club,31-106,1994,6.2,11,8,1,3,7,2,5,40.0,3,3,1,2,1,12,6,0,Matches
62,Franco Baldassarra,ar ARG,MF,Platense,26-218,1998,1.7,6,4,1,4,1,4,4,100.0,0,3,0,3,1,7,7,0,Matches
63,Éver Banega,ar ARG,MF,Newell's OB,36-310,1988,13.8,21,12,10,6,5,10,25,40.0,15,6,2,4,7,28,6,0,Matches
64,Nahuel Banegas,ar ARG,DF,Tigre,28-211,1996,13.4,33,24,22,8,3,20,28,71.4,8,21,4,17,15,48,45,0,Matches
65,Juan Barbieri,ar ARG,FW,Ind. Rivadavia,28-230,1996,4.9,8,6,0,6,2,2,7,28.6,5,2,1,1,0,8,4,0,Matches
66,David Barbona,ar ARG,"MF,FW",Defensa y Just,30-072,1995,2.6,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,1,0,Matches
67,Juan Barinaga,ar ARG,DF,Boca Juniors,24-207,2000,2.3,6,4,4,1,1,4,4,100.0,0,5,1,4,3,9,10,0,Matches
68,Williams Barlasina,ar ARG,GK,Aldosivi,26-310,1998,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
69,Daniel Barrea,ar ARG,"FW,MF",Godoy Cruz,23-287,2001,5.0,8,4,1,5,2,3,5,60.0,2,2,0,2,3,11,3,0,Matches
