Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,32-008,1993,11.6,22,1.89,21,0,0,1,0,0,2,0.17,2,0,0,0,0,0,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,23-036,2002,0.6,2,3.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,17-070,2008,1.9,4,2.07,2,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-202,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,31-045,1994,21.8,33,1.52,21,0,2,4,3,3,1,0.05,0,0,0,0,1,0,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-217,1995,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-217,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-313,2005,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-208,1996,29.4,55,1.87,44,5,2,1,2,1,3,0.10,2,0,0,0,0,1,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-332,2001,31.8,78,2.45,47,13,7,7,3,1,12,0.38,10,1,0,0,0,1,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-205,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-017,1998,15.5,18,1.16,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-068,1994,25.0,54,2.17,44,0,2,5,2,1,8,0.32,3,0,1,3,1,0,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-289,1995,19.4,34,1.75,34,0,0,0,0,0,2,0.10,2,0,0,0,0,0,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-210,2003,5.5,5,0.91,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-075,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-018,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-139,1997,26.5,34,1.28,27,4,0,2,1,0,3,0.11,3,0,0,0,0,0,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-068,2002,25.6,114,4.45,86,3,10,6,6,3,18,0.70,16,0,0,2,0,0,Matches
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,27-135,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
