Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
59,Álex Bermejo,es ESP,"MF,FW",Farense,26-145,1998,6.3,123,186,66.1,2221,689,59,74,79.7,40,56,71.4,18,38,47.4,0,0.4,0.7,-0.4,8,13,7,2,17,Matches
60,Sergio Bermejo,es ESP,"MF,FW",Gil Vicente FC,27-261,1997,4.5,107,128,83.6,1399,407,61,68,89.7,37,45,82.2,2,4,50.0,0,0.2,0.2,-0.2,5,14,2,0,16,Matches
61,Simão Bertelli,br BRA,GK,AVS Futebol,31-337,1993,11.0,269,379,71.0,8087,5787,38,38,100.0,127,132,96.2,103,206,50.0,0,0.0,0.0,0.0,0,6,0,0,0,Matches
62,Jan-Niklas Beste,de GER,"FW,DF",Benfica,26-121,1999,5.6,238,302,78.8,4043,984,113,127,89.0,98,126,77.8,21,32,65.6,1,1.5,1.0,-0.5,15,9,5,2,21,Matches
63,José Bica,pt POR,"FW,MF",Vitória,21-323,2003,0.3,2,3,66.7,20,4,2,2,100.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
64,Biel,br BRA,"MF,FW",Sporting CP,24-034,2001,0.2,5,9,55.6,64,0,4,4,100.0,0,2,0.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
65,Raúl Blanco,es ESP,FW,Casa Pia,23-278,2001,2.8,60,69,87.0,1219,266,24,29,82.8,28,30,93.3,8,9,88.9,0,0.0,0.1,0.0,0,9,0,0,11,Matches
66,Paulinho Bóia,br BRA,"FW,MF",Nacional,26-313,1998,10.0,188,247,76.1,2723,690,102,125,81.6,58,69,84.1,13,23,56.5,2,2.2,1.9,-0.2,20,13,4,1,20,Matches
67,Kévin Boma,tg TOG,DF,Estoril,22-166,2002,25.4,940,1101,85.4,16418,5845,355,389,91.3,526,583,90.2,48,108,44.4,0,0.2,0.4,-0.2,6,44,1,0,49,Matches
68,Pedro Bondo,ao ANG,"DF,MF",Famalicão,20-170,2004,1.4,44,72,61.1,753,246,25,29,86.2,13,22,59.1,5,18,27.8,1,0.6,0.3,+0.4,3,6,0,0,3,Matches
69,Kiko Bondoso,pt POR,"FW,MF",Rio Ave,29-169,1995,20.8,412,540,76.3,5778,1279,257,299,86.0,119,156,76.3,20,33,60.6,1,2.2,1.5,-1.2,21,21,13,4,53,Matches
70,Toni Borevkovic,hr CRO,DF,Vitória,27-321,1997,24.9,1263,1413,89.4,24005,8817,440,470,93.6,702,752,93.4,110,165,66.7,0,0.3,0.3,-0.3,4,60,0,0,73,Matches
71,Daniel Borges,br BRA,"MF,FW",Santa Clara,22-029,2003,2.0,37,76,48.7,540,209,21,35,60.0,11,19,57.9,2,8,25.0,0,0.1,0.2,-0.1,1,7,1,0,3,Matches
72,Gonçalo Borges,pt POR,"FW,MF",Porto,24-037,2001,7.8,187,260,71.9,2712,557,110,120,91.7,61,91,67.0,10,30,33.3,2,1.7,1.7,+0.3,12,7,13,7,16,Matches
73,Róbert Boženík,sk SVK,FW,Boavista,25-168,1999,27.6,310,430,72.1,4731,564,161,207,77.8,109,135,80.7,20,32,62.5,0,0.3,0.4,-0.3,7,21,9,1,36,Matches
74,Daniel Bragança,pt POR,MF,Sporting CP,25-343,1999,12.0,613,685,89.5,9917,2510,320,343,93.3,239,261,91.6,42,53,79.2,4,1.7,1.7,+2.3,21,77,15,1,87,Matches
75,Bruno Brigido,br BRA,GK,Estrela,34-057,1991,17.5,367,557,65.9,10426,7601,50,50,100.0,206,210,98.1,110,295,37.3,0,0.0,0.0,0.0,0,7,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Alexandre Brito,pt POR,"MF,DF",Sporting CP,19-290,2005,1.0,40,44,90.9,602,56,23,24,95.8,15,18,83.3,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
77,Rafael Brito,pt POR,MF,Casa Pia,23-106,2002,11.1,312,429,72.7,5546,1604,130,164,79.3,148,190,77.9,28,57,49.1,1,0.4,0.3,+0.6,8,36,5,4,32,Matches
78,Tiago Brito,pt POR,MF,Estoril,21-019,2004,0.8,36,44,81.8,543,65,19,23,82.6,17,20,85.0,0,1,0.0,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
79,Bruma,pt POR,"FW,MF",Braga,30-193,1994,13.4,437,546,80.0,6256,1482,260,295,88.1,135,162,83.3,25,43,58.1,5,5.9,4.0,-0.9,20,38,23,0,64,Matches
80,Bruma,pt POR,"FW,MF",Benfica,30-193,1994,5.0,173,222,77.9,2540,740,93,107,86.9,58,71,81.7,11,20,55.0,2,1.0,1.5,+1.0,6,16,9,0,33,Matches
81,Jonathan Buatu Mananga,ao ANG,DF,Gil Vicente FC,31-220,1993,18.3,925,1010,91.6,18931,5561,200,219,91.3,636,657,96.8,82,116,70.7,1,0.5,0.6,+0.5,4,31,2,1,42,Matches
82,Leonel Bucca,ar ARG,"MF,FW",Estrela,26-046,1999,12.8,263,384,68.5,4016,1377,135,170,79.4,110,156,70.5,11,31,35.5,2,1.7,0.9,+0.3,11,35,7,1,39,Matches
