Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
48,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
49,Adrian Blake,eng ENG,"FW,MF",Utrecht,19-294,2005,3.9,12,4,8,2,2,6,7,85.7,1,6,0,6,2,14,1,0,Matches
50,Thijmen Blokzijl,nl NED,DF,Groningen,20-069,2005,21.7,29,16,19,8,2,17,25,68.0,8,25,15,10,31,60,105,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Paweł Bochniewicz,pl POL,DF,Heerenveen,29-095,1996,12.3,9,7,4,5,0,5,12,41.7,7,15,11,4,24,33,50,1,Matches
52,Jeremy Bokila,cd COD,FW,Willem II,36-172,1988,14.2,10,5,2,4,4,2,11,18.2,9,10,2,8,1,11,17,0,Matches
53,Ruben van Bommel,nl NED,FW,AZ Alkmaar,20-275,2004,14.1,30,17,8,14,8,13,35,37.1,22,25,1,24,10,40,6,0,Matches
54,Taylor Booth,us USA,"FW,MF",Utrecht,23-339,2001,2.9,4,3,1,2,1,2,5,40.0,3,1,0,1,3,7,11,0,Matches
55,Taylor Booth,us USA,FW,Twente,23-339,2001,3.0,7,2,1,3,3,3,7,42.9,4,0,0,0,0,7,2,0,Matches
56,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,27-168,1997,25.8,55,35,27,24,4,32,41,78.0,9,19,13,6,37,92,92,1,Matches
57,Jesse Bosch,nl NED,MF,Willem II,25-093,2000,27.9,61,35,18,30,13,30,58,51.7,28,36,12,24,24,85,72,0,Matches
58,Sven Bouland,nl NED,DF,Groningen,,,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
59,Rayane Bounida,be BEL,FW,Ajax,19-063,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
60,Can Bozdogan,de GER,MF,Utrecht,24-030,2001,4.5,10,7,5,5,0,2,5,40.0,3,7,2,5,4,14,7,0,Matches
61,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,31-125,1993,25.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,16,4,Matches
62,Oliver Braude,no NOR,DF,Heerenveen,21-073,2004,26.0,91,64,57,28,6,56,83,67.5,27,40,9,31,30,121,89,1,Matches
63,Myron van Brederode,nl NED,FW,AZ Alkmaar,21-303,2003,1.9,2,0,1,0,1,2,5,40.0,3,5,0,5,0,2,1,0,Matches
64,Michael Bresser,nl NED,DF,PSV Eindhoven,18-011,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
65,Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,21-169,2003,21.8,22,12,8,9,5,8,26,30.8,18,20,6,14,8,30,20,2,Matches
66,Brian Brobbey,nl NED,FW,Ajax,23-093,2002,16.1,6,5,2,1,3,4,7,57.1,3,14,2,12,3,9,9,0,Matches
67,Michael Brouwer,nl NED,GK,Utrecht,32-104,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
68,Luuk Brouwers,nl NED,"MF,FW",Heerenveen,27-002,1998,19.4,30,17,9,19,2,12,26,46.2,14,19,3,16,21,51,35,0,Matches
69,Jordy Bruijn,nl NED,MF,Heracles Almelo,28-286,1996,3.4,6,4,1,5,0,0,5,0.0,5,7,1,6,1,7,4,1,Matches
70,Max Bruns,nl NED,DF,Twente,22-180,2002,17.2,19,7,12,7,0,9,14,64.3,5,17,15,2,23,42,66,0,Matches
71,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,33-118,1992,10.2,25,16,5,14,6,12,19,63.2,7,16,1,15,2,27,17,0,Matches
72,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,26-270,1998,3.4,3,2,2,1,0,1,3,33.3,2,0,0,0,0,3,4,0,Matches
73,Charles-Andréas Brym,ca CAN,FW,Almere City,26-270,1998,11.4,6,6,0,3,3,2,7,28.6,5,9,1,8,0,6,3,0,Matches
74,Hugo Bueno,es ESP,DF,Feyenoord,22-229,2002,13.1,17,15,10,4,3,9,13,69.2,4,11,4,7,11,28,22,0,Matches
75,Thomas Buitink,nl NED,"FW,MF",Zwolle,24-325,2000,2.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,24-191,2000,20.4,30,19,10,12,8,15,43,34.9,28,18,2,16,12,42,18,0,Matches
77,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
78,Maxime Busi,be BEL,DF,NAC Breda,25-203,1999,8.6,20,11,13,4,3,12,24,50.0,12,9,5,4,5,25,28,1,Matches
79,Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22-332,2002,12.2,27,14,9,16,2,16,25,64.0,9,15,2,13,10,37,16,1,Matches
80,Àlex Carbonell,es ESP,MF,Almere City,27-232,1997,2.6,7,4,5,2,0,4,6,66.7,2,3,3,0,2,9,6,0,Matches
81,Julián Carranza,ar ARG,FW,Feyenoord,24-348,2000,8.8,9,5,2,5,2,2,5,40.0,3,5,1,4,1,10,7,0,Matches
