Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
48,Gil Bastião Dias,pt POR,"FW,MF",Famalicão,28-219,1996,28,12,1303,14.5,5,2,7,5,0,0,6,0,2.8,2.8,0.9,3.7,45,52,112,0.35,0.14,0.48,0.35,0.48,0.19,0.06,0.26,0.19,0.26,Matches
49,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32,32,2880,32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Gilberto Batista,gw GNB,DF,Moreirense,21-127,2003,4,3,285,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23-305,2001,32,23,1752,19.5,8,3,11,6,2,4,1,0,9.6,6.4,3.0,9.5,27,42,103,0.41,0.15,0.57,0.31,0.46,0.49,0.16,0.65,0.33,0.49,Matches
53,Gui Beleza,pt POR,MF,Gil Vicente FC,18-147,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Bachir Belloumi,dz ALG,FW,Farense,22-338,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,8,14,20,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches
55,Andrea Belotti,it ITA,FW,Benfica,31-136,1993,12,4,406,4.5,3,0,3,3,0,0,0,0,5.1,5.1,0.7,5.8,10,8,33,0.67,0.00,0.67,0.67,0.67,1.13,0.16,1.29,1.13,1.29,Matches
56,Fahem Benaissa Yahia,fr FRA,"DF,MF",Casa Pia,23-006,2002,6,2,223,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,7,5,17,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
57,Beni,ao ANG,MF,Vitória,22-349,2002,5,0,49,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
58,Beni,ao ANG,MF,Casa Pia,22-349,2002,13,7,749,8.3,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.2,7,35,7,0.00,0.12,0.12,0.00,0.12,0.01,0.02,0.03,0.01,0.03,Matches
59,Álex Bermejo,es ESP,"MF,FW",Farense,26-145,1998,22,4,569,6.3,1,0,1,1,0,0,3,0,1.9,1.9,0.4,2.3,14,17,34,0.16,0.00,0.16,0.16,0.16,0.30,0.07,0.37,0.30,0.37,Matches
60,Sergio Bermejo,es ESP,"MF,FW",Gil Vicente FC,27-261,1997,8,5,401,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,11,16,19,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.02,0.06,Matches
61,Simão Bertelli,br BRA,GK,AVS Futebol,31-337,1993,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
62,Jan-Niklas Beste,de GER,"FW,DF",Benfica,26-121,1999,13,5,501,5.6,0,1,1,0,0,0,3,0,0.7,0.7,1.5,2.2,23,21,67,0.00,0.18,0.18,0.00,0.18,0.12,0.27,0.40,0.12,0.40,Matches
63,José Bica,pt POR,"FW,MF",Vitória,21-323,2003,4,0,25,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,0,2,0.00,0.00,0.00,0.00,0.00,0.69,0.20,0.89,0.69,0.89,Matches
64,Biel,br BRA,"MF,FW",Sporting CP,24-034,2001,3,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.52,0.52,0.52,Matches
65,Raúl Blanco,es ESP,FW,Casa Pia,23-278,2001,5,3,250,2.8,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,2,11,14,0.36,0.00,0.36,0.36,0.36,0.11,0.00,0.11,0.11,0.11,Matches
66,Paulinho Bóia,br BRA,"FW,MF",Nacional,26-313,1998,13,11,901,10.0,1,2,3,1,0,0,1,0,1.3,1.1,2.2,3.3,28,20,65,0.10,0.20,0.30,0.10,0.30,0.13,0.22,0.35,0.11,0.33,Matches
67,Kévin Boma,tg TOG,DF,Estoril,22-166,2002,27,27,2287,25.4,1,0,1,1,0,0,7,0,1.0,1.0,0.2,1.3,4,49,3,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,Matches
68,Pedro Bondo,ao ANG,"DF,MF",Famalicão,20-170,2004,5,1,126,1.4,1,1,2,1,0,0,0,1,0.1,0.1,0.6,0.7,7,3,10,0.71,0.71,1.43,0.71,1.43,0.07,0.45,0.52,0.07,0.52,Matches
