Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
194,Alexis Cuello,ar ARG,"FW,MF",San Lorenzo,25-076,2000,9.9,342,14,28,141,181,45,342,40,20,50.0,20,50.0,182,1031,451,14,11,8,36,24,228,59,Matches
195,Víctor Cuesta,ar ARG,DF,Newell's OB,36-167,1988,9.9,379,61,199,166,19,5,379,3,1,33.3,2,66.7,148,783,459,5,0,0,5,1,148,2,Matches
196,Braian Cufré,ar ARG,DF,Cen. Córdoba–SdE,28-141,1996,8.5,535,15,124,239,175,10,535,8,4,50.0,4,50.0,259,1107,591,8,18,0,10,4,291,31,Matches
197,Santiago Dalmasso,ar ARG,MF,Boca Juniors,20-321,2004,0.1,7,0,1,5,1,0,7,1,1,100.0,0,0.0,3,6,3,0,0,0,0,0,5,0,Matches
198,Leonel Dante Álvarez,ar ARG,DF,San Martín de San Juan,29-041,1996,9.0,441,22,158,181,104,7,441,4,2,50.0,2,50.0,153,910,401,10,6,0,10,4,172,23,Matches
199,Agustín Dáttola,ar ARG,DF,Belgrano,26-015,1999,4.0,178,16,83,92,4,2,178,0,0,,0,,89,563,346,2,0,0,1,0,99,0,Matches
200,Fernando David Cardozo,py PAR,"MF,FW",Newell's OB,24-086,2001,5.4,261,12,73,104,87,15,261,13,6,46.2,7,53.8,145,606,245,8,1,3,14,9,168,35,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
201,Jonathan David Gómez,ar ARG,MF,Rosario Central,35-135,1989,0.8,49,0,7,37,5,0,49,1,1,100.0,0,0.0,19,77,49,1,0,0,3,0,34,2,Matches
202,Hernán De La Fuente,ar ARG,DF,Huracán,28-118,1997,5.0,231,11,61,100,71,2,231,12,7,58.3,5,41.7,96,539,227,6,9,0,7,3,111,23,Matches
203,Matías De los Santos,uy URU,DF,Atlé Tucumán,32-164,1992,10.0,537,58,261,259,21,11,537,4,3,75.0,1,25.0,232,991,581,0,1,0,5,0,303,2,Matches
204,Mathías De Ritis,uy URU,DF,Banfield,22-094,2003,11.8,667,33,224,302,152,6,667,35,14,40.0,20,57.1,282,1602,853,22,22,3,21,12,311,44,Matches
205,Ramiro Degregorio,ar ARG,"FW,MF",Racing Club,22-085,2003,0.7,35,0,4,13,19,4,35,3,2,66.7,1,33.3,17,165,100,2,2,0,3,0,17,4,Matches
206,Ronaldo Dejesús,py PAR,DF,Lanús,,,11.0,687,92,389,265,34,22,687,6,4,66.7,2,33.3,313,1579,907,4,2,0,5,4,361,4,Matches
207,Mateo Del Blanco,ar ARG,"DF,MF",Unión,21-186,2003,11.7,824,25,162,368,309,25,824,34,17,50.0,17,50.0,486,3209,2033,60,42,11,19,12,532,81,Matches
208,Milton Delgado,ar ARG,MF,Boca Juniors,19-323,2005,9.4,593,10,129,438,31,0,593,9,6,66.7,3,33.3,295,1327,659,10,3,0,13,17,398,7,Matches
209,Jonathan Dellarossa,ar ARG,FW,Instituto,25-107,2000,1.9,60,1,2,25,33,10,60,2,1,50.0,1,50.0,41,152,54,2,3,1,7,4,49,12,Matches
210,Nicolás Demartini,ar ARG,DF,Barracas Central,25-182,1999,10.4,466,42,236,219,12,2,466,7,1,14.3,6,85.7,178,771,417,3,1,0,5,4,196,1,Matches
211,Valentín Depietri,ar ARG,FW,Talleres,24-186,2000,7.2,271,8,31,81,169,39,271,36,21,58.3,15,41.7,170,1536,892,33,21,14,13,14,198,80,Matches
212,Facundo Di Biasi,ar ARG,"MF,FW",Gimnasia–LP,19-317,2005,9.7,517,20,113,327,82,4,517,12,5,41.7,7,58.3,255,1093,514,6,5,1,20,4,315,11,Matches
213,Marco Di Cesare,ar ARG,DF,Racing Club,23-095,2002,11.1,578,62,287,269,25,13,578,7,4,57.1,3,42.9,247,1252,789,7,3,0,7,1,303,3,Matches
214,Lautaro Di Lollo,ar ARG,DF,Boca Juniors,21-056,2004,8.0,566,49,277,283,11,5,566,4,3,75.0,1,25.0,317,1605,928,7,3,0,2,2,380,0,Matches
215,Ramiro Di Luciano,ar ARG,DF,Banfield,21-104,2004,12.4,604,44,197,246,167,19,604,31,9,29.0,21,67.7,238,1578,708,28,18,7,25,5,256,56,Matches
