Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Unnamed: 11_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 27_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
58,Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,30-047,1995,7,7,630,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0,Matches
59,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,34-272,1990,13,13,1170,13.0,27,2.08,72,46,66.7,3,4,6,1,7.7,3,3,0,0,0.0,Matches
60,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-116,1999,27,27,2405,26.7,47,1.76,127,80,64.6,8,6,13,4,14.8,3,2,1,0,33.3,Matches
61,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,28-028,1997,27,27,2430,27.0,30,1.11,91,62,69.2,10,7,10,6,22.2,2,2,0,0,0.0,Matches
62,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,38-114,1987,29,29,2610,29.0,40,1.38,104,64,63.5,11,7,11,7,24.1,2,2,0,0,0.0,Matches
63,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34-363,1990,28,28,2451,27.2,36,1.32,125,88,72.8,12,10,6,13,46.4,3,2,1,0,33.3,Matches
64,Kjetil Haug,no NOR,GK,Toulouse,fr Ligue 1,26-326,1998,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,,Matches
65,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-053,1997,34,34,3060,34.0,47,1.38,139,94,66.9,11,12,11,10,29.4,2,1,1,0,50.0,Matches
66,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24-297,2000,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0,Matches
67,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,31-333,1993,33,33,2970,33.0,50,1.52,161,112,72.7,10,13,10,6,18.2,6,6,0,0,0.0,Matches
68,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,26-055,1999,9,7,725,8.1,14,1.74,39,25,64.1,2,0,5,1,14.3,1,0,1,0,100.0,Matches
69,Timo Horn,de GER,GK,Bochum,de Bundesliga,31-357,1993,11,11,990,11.0,18,1.64,45,27,60.0,2,3,6,2,18.2,1,0,0,1,,Matches
70,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,35-161,1989,27,27,2430,27.0,32,1.19,107,78,72.9,16,10,1,6,22.2,3,3,0,0,0.0,Matches
71,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,23-021,2002,28,28,2520,28.0,63,2.25,148,86,59.5,4,4,20,5,17.9,3,3,0,0,0.0,Matches
72,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23-285,2001,1,0,12,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,,Matches
73,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-096,1990,3,3,270,3.0,6,2.00,22,16,77.3,1,1,1,0,0.0,1,1,0,0,0.0,Matches
74,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-040,1993,7,7,630,7.0,17,2.43,39,23,61.5,0,1,6,0,0.0,2,2,0,0,0.0,Matches
75,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,32-044,1993,8,7,703,7.8,15,1.92,40,27,70.0,1,1,5,2,28.6,3,3,0,0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
76,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-110,2001,14,13,1188,13.2,16,1.21,51,35,76.5,6,4,3,3,23.1,4,4,0,0,0.0,Matches
77,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-018,2002,6,6,540,6.0,9,1.50,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,Matches
78,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,26-162,1998,10,10,900,10.0,12,1.20,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0,Matches
79,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,22-052,2003,4,4,360,4.0,7,1.75,16,11,56.3,1,0,3,1,25.0,0,0,0,0,,Matches
80,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,27-149,1997,30,30,2700,30.0,45,1.50,117,72,65.0,14,6,10,6,20.0,4,4,0,0,0.0,Matches
81,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,28-200,1996,5,5,450,5.0,8,1.60,26,18,76.9,1,0,4,0,0.0,2,2,0,0,0.0,Matches
82,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27-032,1998,17,17,1530,17.0,15,0.88,54,39,74.1,10,5,2,7,41.2,1,1,0,0,0.0,Matches
83,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24-352,2000,4,4,360,4.0,3,0.75,13,10,76.9,3,0,1,3,75.0,0,0,0,0,,Matches
84,Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,25-206,1999,15,15,1350,15.0,32,2.13,74,42,60.8,4,4,7,2,13.3,3,3,0,0,0.0,Matches
85,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,26-101,1999,12,12,1080,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0,Matches
86,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,28-070,1997,31,31,2790,31.0,74,2.39,195,121,68.7,6,6,19,3,9.7,15,13,2,0,13.3,Matches
87,Nicola Leali,it ITA,GK,Genoa,it Serie A,32-076,1993,27,27,2430,27.0,26,0.96,100,75,77.0,8,10,9,10,37.0,4,3,1,0,25.0,Matches
88,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,34-008,1991,27,27,2430,27.0,61,2.26,154,95,63.6,3,4,20,1,3.7,6,5,1,0,16.7,Matches
89,Bernd Leno,de GER,GK,Fulham,eng Premier League,33-061,1992,35,35,3150,35.0,47,1.34,142,97,68.3,14,9,12,5,14.3,2,2,0,0,0.0,Matches
90,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32-182,1992,29,29,2610,29.0,42,1.45,148,108,75.0,11,7,11,9,31.0,5,5,0,0,0.0,Matches
91,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34-215,1990,15,15,1293,14.4,24,1.67,66,43,69.7,4,5,6,2,13.3,5,4,0,1,0.0,Matches
92,Pau López,es ESP,GK,Girona,es La Liga,30-142,1994,1,0,45,0.5,2,4.00,3,1,33.3,0,0,0,0,,0,0,0,0,,Matches
93,Joe Lumley,eng ENG,GK,Southampton,eng Premier League,30-078,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,,Matches
94,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,26-082,1999,5,5,450,5.0,7,1.40,18,11,61.1,4,0,1,2,40.0,0,0,0,0,,Matches
95,Mike Maignan,fr FRA,GK,Milan,it Serie A,29-305,1995,33,33,2934,32.6,36,1.10,120,86,70.8,14,9,10,11,33.3,2,1,1,0,50.0,Matches
96,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,25-169,1999,15,15,1350,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0,Matches
97,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,24-217,2000,30,30,2700,30.0,45,1.50,120,76,65.8,10,10,10,7,23.3,6,4,2,0,33.3,Matches
98,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,40-037,1985,17,17,1485,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3,Matches
99,Christos Mandas,gr GRE,GK,Lazio,it Serie A,23-229,2001,5,5,450,5.0,3,0.60,17,14,82.4,2,3,0,3,60.0,0,0,0,0,,Matches
