Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 34_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
48,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,27-021,1998,7.3,12,2,0,1,0,8.4,0.22,-3.6,-0.49,37,138,26.8,254,24,42.1,35.1,38,81.6,54.5,97,5,5.2,14,1.92,17.5,Matches
49,André Ferreira,pt POR,GK,Valladolid,es La Liga,28-340,1996,5.0,18,3,0,1,0,13.4,0.33,-4.6,-0.92,23,69,33.3,120,23,38.3,34.3,43,53.5,41.2,69,2,2.9,3,0.60,10.0,Matches
50,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-325,1993,32.4,48,1,0,2,2,48.3,0.27,+2.3,+0.07,232,600,38.7,1364,112,34.2,34.6,190,70.5,53.6,536,44,8.2,32,0.99,11.4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
51,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-256,2000,31.0,50,3,0,7,0,62.3,0.34,+12.3,+0.40,140,408,34.3,703,172,38.5,35.7,244,56.1,43.6,495,45,9.1,19,0.61,10.9,Matches
52,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,37-048,1988,7.0,15,2,0,1,0,16.5,0.36,+1.5,+0.21,11,31,35.5,141,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1,Matches
53,Fran,es ESP,GK,Real Madrid,es La Liga,19-314,2005,1.0,2,0,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50.0,16,3,12.5,24.0,4,0.0,14.8,5,1,20.0,1,1.00,12.0,Matches
54,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,32-011,1993,0.5,0,0,0,0,0,0.0,,0.0,0.00,0,3,0.0,15,2,13.3,23.8,4,25.0,26.3,2,0,0.0,1,2.00,28.0,Matches
55,Joan García,es ESP,GK,Espanyol,es La Liga,24-000,2001,33.0,42,4,2,6,0,50.3,0.28,+8.3,+0.25,160,453,35.3,883,169,37.1,34.7,191,65.4,49.7,601,57,9.5,33,1.00,11.9,Matches
56,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-122,1992,32.5,50,2,1,5,1,43.1,0.30,-5.9,-0.18,78,258,30.2,959,128,20.6,29.1,160,37.5,37.6,377,31,8.2,28,0.86,12.7,Matches
57,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-178,1990,31.0,31,1,0,1,1,31.9,0.25,+1.9,+0.06,198,450,44.0,787,116,40.8,35.9,221,58.4,46.0,441,13,2.9,28,0.90,14.7,Matches
58,Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,30-047,1995,7.0,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44.0,198,21,24.7,30.4,52,50.0,44.4,92,2,2.2,2,0.29,9.6,Matches
59,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,34-272,1990,13.0,27,3,0,3,1,28.8,0.37,+2.8,+0.22,67,155,43.2,352,63,34.7,32.9,80,41.3,35.1,234,16,6.8,7,0.54,11.0,Matches
60,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-116,1999,26.7,47,2,0,9,1,48.3,0.37,+2.3,+0.09,172,477,36.1,916,102,42.1,36.7,138,65.9,51.6,377,12,3.2,14,0.52,12.0,Matches
61,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,28-028,1997,27.0,30,2,0,3,1,25.5,0.27,-3.5,-0.13,169,426,39.7,748,112,42.9,36.7,166,63.3,48.6,449,14,3.1,16,0.59,12.8,Matches
62,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,38-114,1987,29.0,40,2,0,5,0,33.1,0.31,-6.9,-0.24,55,177,31.1,630,172,17.9,26.9,185,34.6,34.7,358,23,6.4,39,1.34,14.0,Matches
63,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34-363,1990,27.2,36,2,1,3,0,39.2,0.30,+3.2,+0.12,74,194,38.1,657,131,20.4,28.6,183,32.8,33.9,397,21,5.3,28,1.03,14.8,Matches
64,Kjetil Haug,no NOR,GK,Toulouse,fr Ligue 1,26-326,1998,5.5,7,0,0,2,0,6.6,0.45,-0.4,-0.06,16,60,26.7,95,13,37.9,34.1,35,68.6,49.1,72,5,6.9,3,0.54,12.1,Matches
65,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-053,1997,34.0,47,1,1,2,3,46.5,0.34,+2.5,+0.07,143,533,26.8,836,102,47.0,38.4,250,56.0,44.8,488,26,5.3,37,1.09,14.3,Matches
66,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24-297,2000,26.5,58,3,0,3,3,56.4,0.35,+1.4,+0.05,114,471,24.2,926,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1,Matches
67,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,31-333,1993,33.0,50,6,1,4,1,51.6,0.29,+2.6,+0.08,243,538,45.2,860,120,42.7,37.6,239,71.5,51.1,456,32,7.0,76,2.30,19.1,Matches
68,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,26-055,1999,8.1,14,0,0,0,1,14.6,0.37,+1.6,+0.20,52,121,43.0,311,29,32.5,32.8,40,50.0,43.9,95,5,5.3,12,1.49,16.7,Matches
69,Timo Horn,de GER,GK,Bochum,de Bundesliga,31-357,1993,11.0,18,0,0,3,0,15.1,0.35,-2.9,-0.27,109,278,39.2,337,22,62.0,44.2,78,88.5,60.4,152,4,2.6,14,1.27,14.8,Matches
70,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,35-161,1989,27.0,32,3,1,2,3,30.1,0.26,+1.1,+0.04,115,279,41.2,713,104,31.0,31.4,121,47.9,39.8,273,11,4.0,36,1.33,17.0,Matches
71,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,23-021,2002,28.0,63,3,1,4,1,52.8,0.35,-9.2,-0.33,151,415,36.4,862,127,32.7,33.8,207,64.3,51.7,442,33,7.5,33,1.18,14.3,Matches
72,Vitezslav Jaros,cz CZE,GK,Liverpool,eng Premier League,23-285,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,+0.25,5,7,71.4,7,2,85.7,50.9,1,100.0,59.0,2,0,0.0,0,0.00,11.0,Matches
73,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-096,1990,3.0,6,1,0,0,0,6.7,0.26,+0.7,+0.22,6,22,27.3,122,21,15.6,23.9,7,42.9,39.7,48,2,4.2,3,1.00,11.1,Matches
74,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-040,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,25,56.0,43.2,104,8,7.7,11,1.57,13.4,Matches
