Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
114,Clayton,br BRA,FW,Rio Ave,26-114,1999,27.1,15,7,2,6,7,6,16,37.5,10,14,5,9,4,19,26,0,Matches
115,Diego Collado,es ESP,"MF,FW",Gil Vicente FC,24-116,2001,0.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
116,Semeu Commey,gh GHA,DF,Estrela,20-358,2004,0.5,1,1,1,0,0,0,0,,0,0,0,0,0,1,10,0,Matches
117,Fábio Conceição,pt POR,"FW,MF",Estrela,24-007,2001,6.8,13,8,5,4,4,5,11,45.5,6,6,3,3,7,20,1,0,Matches
118,Fábio Conceição,pt POR,"FW,DF",Rio Ave,24-007,2001,4.7,9,7,4,3,2,3,10,30.0,7,4,1,3,4,13,4,1,Matches
119,Leo Cordeiro,br BRA,MF,Estrela,29-220,1995,19.3,26,17,10,15,1,14,27,51.9,13,29,4,25,15,41,7,4,Matches
120,Félix Correia,pt POR,"FW,MF",Gil Vicente FC,24-103,2001,30.1,32,21,17,13,2,16,31,51.6,15,22,1,21,36,68,37,1,Matches
121,Alberto costa,pt POR,DF,Vitória,21-218,2003,7.5,24,16,11,7,6,16,21,76.2,5,17,2,15,9,33,26,0,Matches
122,Bruno Xavier Almeida Costa,pt POR,"MF,FW",Nacional,28-016,1997,10.3,9,5,6,3,0,6,11,54.5,5,6,1,5,6,15,7,1,Matches
123,Diogo Costa,pt POR,GK,Porto,25-228,1999,30.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,12,0,Matches
124,Gonçalo Costa,pt POR,"DF,MF",Estoril,25-076,2000,4.4,12,5,5,7,0,7,12,58.3,5,4,2,2,6,18,19,0,Matches
125,Hélder Costa,ao ANG,"FW,MF",Estoril,31-113,1994,6.7,7,4,2,1,4,5,11,45.5,6,4,0,4,0,7,8,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,João Costa,pt POR,FW,Santa Clara,25-059,2000,8.0,14,9,5,7,2,5,10,50.0,5,10,1,9,5,19,7,0,Matches
127,João Paulo Santos Costa,pt POR,GK,Estrela,29-092,1996,11.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
128,Michel Costa,br BRA,MF,Estoril,23-136,2001,6.6,8,3,2,5,1,1,9,11.1,8,12,3,9,7,15,9,0,Matches
129,Rui Costa,pt POR,"FW,MF",Farense,29-074,1996,5.9,5,3,0,3,2,2,7,28.6,5,2,1,1,2,7,1,0,Matches
130,Marco Cruz,pt POR,DF,Vitória,21-071,2004,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
131,Sandro Cruz,ao ANG,DF,Gil Vicente FC,23-358,2001,23.1,62,31,32,26,4,32,48,66.7,16,33,7,26,21,83,75,1,Matches
132,Augusto Dabo,gw GNB,DF,Boavista,21-053,2004,6.1,9,6,5,1,3,8,12,66.7,4,9,2,7,2,11,26,1,Matches
133,Samuel Dahl,se SWE,"DF,MF",Benfica,25-062,2000,6.5,11,5,3,7,1,9,15,60.0,6,10,0,10,5,16,6,0,Matches
134,Amadou Dante,ml MLI,"DF,MF",Arouca,24-210,2000,11.6,28,19,21,5,2,17,31,54.8,14,12,2,10,17,45,26,4,Matches
135,Mathias De Amorim,fr FRA,MF,Famalicão,20-146,2004,10.8,37,20,14,14,9,14,29,48.3,15,15,1,14,14,51,8,1,Matches
136,Zeno Debast,be BEL,"DF,MF",Sporting CP,21-193,2003,22.0,36,26,14,20,2,15,26,57.7,11,20,4,16,22,58,33,3,Matches
137,Depú,ao ANG,FW,Gil Vicente FC,25-117,2000,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
138,Derick,br BRA,"DF,MF",Farense,31-246,1993,15.7,29,14,16,7,6,16,38,42.1,22,21,2,19,10,39,45,1,Matches
