Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
46,Gijs Besselink,nl NED,MF,Twente,20-323,2004,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
47,Daniel Bielica,pl POL,GK,NAC Breda,26-005,1999,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
48,Justin Bijlow,nl NED,GK,Feyenoord,27-103,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Adrian Blake,eng ENG,"FW,MF",Utrecht,19-294,2005,3.9,3,11,6,54.5,2.84,1.55,0.27,0.50,19.0,0,0,0,0.5,0.5,0.04,+2.5,+2.5,Matches
50,Thijmen Blokzijl,nl NED,DF,Groningen,20-069,2005,21.7,0,3,2,66.7,0.14,0.09,0.00,0.00,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Paweł Bochniewicz,pl POL,DF,Heerenveen,29-095,1996,12.3,0,8,3,37.5,0.65,0.24,0.00,0.00,9.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
52,Jeremy Bokila,cd COD,FW,Willem II,36-172,1988,14.2,2,26,8,30.8,1.84,0.56,0.04,0.13,14.9,0,1,1,3.0,2.2,0.08,-1.0,-1.2,Matches
53,Ruben van Bommel,nl NED,FW,AZ Alkmaar,20-275,2004,14.1,2,41,16,39.0,2.91,1.13,0.05,0.13,18.9,5,0,0,3.9,3.9,0.10,-1.9,-1.9,Matches
54,Taylor Booth,us USA,"FW,MF",Utrecht,23-339,2001,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
55,Taylor Booth,us USA,FW,Twente,23-339,2001,3.0,0,3,0,0.0,1.00,0.00,0.00,,25.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
56,Olivier Boscagli,fr FRA,DF,PSV Eindhoven,27-168,1997,25.8,1,17,4,23.5,0.66,0.16,0.06,0.25,27.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
57,Jesse Bosch,nl NED,MF,Willem II,25-093,2000,27.9,5,37,16,43.2,1.32,0.57,0.14,0.31,21.9,4,0,0,2.4,2.4,0.06,+2.6,+2.6,Matches
58,Sven Bouland,nl NED,DF,Groningen,,,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,Rayane Bounida,be BEL,FW,Ajax,19-063,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
60,Can Bozdogan,de GER,MF,Utrecht,24-030,2001,4.5,1,6,1,16.7,1.34,0.22,0.17,1.00,18.8,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
61,Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,31-125,1993,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Oliver Braude,no NOR,DF,Heerenveen,21-073,2004,26.0,0,15,2,13.3,0.58,0.08,0.00,0.00,26.7,0,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
63,Myron van Brederode,nl NED,FW,AZ Alkmaar,21-303,2003,1.9,0,2,0,0.0,1.05,0.00,0.00,,14.9,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
64,Michael Bresser,nl NED,DF,PSV Eindhoven,18-011,2007,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
65,Jakob Breum,dk DEN,"MF,FW",Go Ahead Eag,21-169,2003,21.8,9,54,20,37.0,2.48,0.92,0.17,0.45,18.2,3,0,0,5.5,5.5,0.10,+3.5,+3.5,Matches
66,Brian Brobbey,nl NED,FW,Ajax,23-093,2002,16.1,4,40,11,27.5,2.49,0.68,0.10,0.36,9.5,0,0,0,10.0,10.0,0.25,-6.0,-6.0,Matches
67,Michael Brouwer,nl NED,GK,Utrecht,32-104,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
68,Luuk Brouwers,nl NED,"MF,FW",Heerenveen,27-002,1998,19.4,3,27,12,44.4,1.39,0.62,0.11,0.25,14.1,0,0,0,3.4,3.4,0.13,-0.4,-0.4,Matches
69,Jordy Bruijn,nl NED,MF,Heracles Almelo,28-286,1996,3.4,0,8,0,0.0,2.35,0.00,0.00,,16.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
70,Max Bruns,nl NED,DF,Twente,22-180,2002,17.2,0,5,1,20.0,0.29,0.06,0.00,0.00,13.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
71,Thomas Bruns,nl NED,"MF,FW",Heracles Almelo,33-118,1992,10.2,3,21,6,28.6,2.07,0.59,0.14,0.50,16.7,1,0,0,2.2,2.2,0.10,+0.8,+0.8,Matches
72,Charles-Andréas Brym,ca CAN,"FW,MF",Sparta R'dam,26-270,1998,3.4,0,11,3,27.3,3.21,0.88,0.00,0.00,15.4,0,0,0,1.8,1.8,0.17,-1.8,-1.8,Matches
73,Charles-Andréas Brym,ca CAN,FW,Almere City,26-270,1998,11.4,3,28,10,35.7,2.45,0.87,0.11,0.30,14.8,0,0,0,3.8,3.8,0.14,-0.8,-0.8,Matches
74,Hugo Bueno,es ESP,DF,Feyenoord,22-229,2002,13.1,0,10,1,10.0,0.76,0.08,0.00,0.00,21.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
75,Thomas Buitink,nl NED,"FW,MF",Zwolle,24-325,2000,2.6,0,7,3,42.9,2.73,1.17,0.00,0.00,14.4,0,0,0,1.1,1.1,0.16,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Ezequiel Bullaude,ar ARG,"MF,FW",Fortuna Sittard,24-191,2000,20.4,6,35,13,37.1,1.71,0.64,0.14,0.38,13.3,0,1,2,6.0,4.5,0.13,0.0,+0.5,Matches
77,Abdurrahman Burak Sayın,,FW,Fortuna Sittard,,,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
78,Maxime Busi,be BEL,DF,NAC Breda,25-203,1999,8.6,0,3,0,0.0,0.35,0.00,0.00,,15.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
79,Zico Buurmeester,nl NED,"MF,FW",AZ Alkmaar,22-332,2002,12.2,4,19,8,42.1,1.56,0.66,0.21,0.50,17.0,0,0,0,2.8,2.8,0.15,+1.2,+1.2,Matches
80,Àlex Carbonell,es ESP,MF,Almere City,27-232,1997,2.6,0,1,0,0.0,0.38,0.00,0.00,,17.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
81,Julián Carranza,ar ARG,FW,Feyenoord,24-348,2000,8.8,4,20,7,35.0,2.28,0.80,0.20,0.57,9.4,0,0,0,5.4,5.4,0.27,-1.4,-1.4,Matches
82,Stephano Carrillo,mx MEX,FW,Feyenoord,19-059,2006,0.6,0,1,0,0.0,1.73,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
83,Yoann Cathline,fr FRA,FW,Utrecht,22-287,2002,20.2,6,59,15,25.4,2.92,0.74,0.10,0.40,19.3,0,0,0,3.0,3.0,0.05,+3.0,+3.0,Matches
84,Kayky Chagas,br BRA,"FW,DF",Sparta R'dam,21-328,2003,1.3,0,5,3,60.0,3.75,2.25,0.00,0.00,17.2,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
85,Jordy Clasie,nl NED,MF,AZ Alkmaar,33-312,1991,20.2,0,12,1,8.3,0.59,0.05,0.00,0.00,26.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
86,Pelle Clement,nl NED,"MF,FW",Sparta R'dam,28-351,1996,17.5,2,18,4,22.2,1.03,0.23,0.11,0.50,21.0,1,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
87,Denilho Cleonise,nl NED,"FW,MF",RKC Waalwijk,23-148,2001,12.1,1,16,4,25.0,1.32,0.33,0.06,0.25,21.7,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
88,Amara Conde,de GER,MF,Heerenveen,28-119,1997,7.2,0,2,0,0.0,0.28,0.00,0.00,,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
89,Vito van Crooy,nl NED,"MF,FW",NEC Nijmegen,29-096,1996,19.0,9,33,17,51.5,1.74,0.90,0.24,0.47,16.8,5,1,1,4.1,3.3,0.10,+4.9,+4.7,Matches
90,Alessio da Cruz,cv CPV,FW,Fortuna Sittard,28-107,1997,13.2,4,24,11,45.8,1.82,0.84,0.17,0.36,12.4,0,0,0,4.8,4.8,0.20,-0.8,-0.8,Matches
