Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
69,Kevin Balanta,co COL,DF,Tijuana,28-007,1997,10,8,681,7.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,7,21,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
70,Fidel Barajas,mx MEX,"MF,FW",Guadalajara,19-030,2006,5,0,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,1,23,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,Matches
71,Víctor Barajas,mx MEX,DF,León,22-053,2003,1,0,2,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,2,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Diego Barbosa,mx MEX,DF,Toluca,28-222,1996,14,9,969,10.8,0,1,1,0,0,0,2,0,0.2,0.2,0.9,1.1,11,24,45,0.00,0.09,0.09,0.00,0.09,0.02,0.08,0.10,0.02,0.10,Matches
73,Diego Barbosa,mx MEX,DF,Tijuana,28-222,1996,6,3,239,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Jaine Barreiro,co COL,DF,León,30-320,1994,34,34,3037,33.7,1,0,1,1,0,0,7,0,1.8,1.8,0.9,2.7,20,106,8,0.03,0.00,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Matches
75,Pablo Barrera,mx MEX,"MF,FW",Querétaro,37-318,1987,31,24,2102,23.4,5,1,6,4,1,1,1,0,2.8,2.0,1.5,3.5,42,60,131,0.21,0.04,0.26,0.17,0.21,0.12,0.07,0.19,0.09,0.15,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Sergio Barreto,ar ARG,DF,Pachuca,26-015,1999,19,19,1635,18.2,0,1,1,0,0,0,6,1,0.4,0.4,0.5,0.9,4,30,0,0.00,0.06,0.06,0.00,0.06,0.02,0.03,0.05,0.02,0.05,Matches
77,Bruno Barticciotto,cl CHI,FW,Santos,23-363,2001,10,8,669,7.4,6,0,6,6,0,0,2,0,3.1,3.1,0.4,3.5,10,14,48,0.81,0.00,0.81,0.81,0.81,0.42,0.05,0.48,0.42,0.48,Matches
78,Abraham Bass,mx MEX,MF,Atlas,23-269,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
79,Borja Bastón,es ESP,FW,Pachuca,32-253,1992,7,5,352,3.9,0,0,0,0,0,1,0,0,1.6,0.8,0.1,0.9,1,5,10,0.00,0.00,0.00,0.00,0.00,0.40,0.03,0.43,0.20,0.23,Matches
80,Alán Bautista,mx MEX,"MF,FW",Pachuca,22-180,2002,22,10,895,9.9,1,1,2,1,0,0,0,0,0.5,0.5,2.2,2.7,21,63,48,0.10,0.10,0.20,0.10,0.20,0.05,0.22,0.27,0.05,0.27,Matches
81,Paul Bellón,mx MEX,DF,León,27-335,1997,31,28,2547,28.3,1,0,1,1,0,0,8,0,0.6,0.6,0.4,1.0,8,49,1,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.04,0.02,0.04,Matches
