Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
604,Daniel Steres,us USA,DF,Houston Dynamo,34-175,1990,3.4,170,206,82.5,2870,1221,84,97,86.6,76,88,86.4,9,15,60.0,0,0.0,0.1,0.0,0,12,0,0,13,Matches
605,Kimani Stewart-Baynes,ca CAN,"MF,FW",Colorado Rapids,20-108,2005,0.2,5,7,71.4,71,11,2,3,66.7,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
606,Jared Stroud,us USA,"FW,MF",D.C. United,28-299,1996,7.2,147,203,72.4,2289,581,82,102,80.4,58,68,85.3,5,16,31.3,0,2.0,1.8,-2.0,12,10,6,5,11,Matches
607,Peter Stroud,us USA,MF,NY Red Bulls,23-012,2002,7.9,393,461,85.2,5853,1579,218,238,91.6,143,157,91.1,17,36,47.2,2,1.5,1.1,+0.5,8,54,5,1,42,Matches
608,Brad Stuver,us USA,GK,Austin,34-019,1991,11.0,279,387,72.1,7735,5984,68,68,100.0,122,122,100.0,89,195,45.6,0,0.1,0.0,-0.1,1,8,0,0,0,Matches
609,Luis Suárez,uy URU,FW,Inter Miami,38-101,1987,7.3,179,232,77.2,3038,673,91,111,82.0,68,87,78.2,16,18,88.9,6,2.6,1.4,+3.4,16,10,11,0,31,Matches
610,Magomed-Shapi Suleymanov,ru RUS,"FW,MF",Sporting KC,25-140,1999,8.4,307,384,79.9,4560,848,182,206,88.3,103,125,82.4,14,33,42.4,2,0.6,1.0,+1.4,8,12,12,1,31,Matches
611,Cavan Sullivan,us USA,"MF,FW",Philadelphia Union,15-219,2009,0.5,17,24,70.8,200,32,12,17,70.6,3,4,75.0,0,1,0.0,0,0.1,0.0,-0.1,1,1,0,0,3,Matches
612,Quinn Sullivan,us USA,MF,Philadelphia Union,21-039,2004,10.3,252,395,63.8,4009,1483,138,163,84.7,73,115,63.5,24,71,33.8,5,3.0,2.2,+2.0,25,31,20,8,50,Matches
613,Finn Surman,nz NZL,DF,Portland Timbers,21-224,2003,10.7,453,499,90.8,8972,3307,127,142,89.4,277,289,95.8,47,60,78.3,0,0.0,0.0,0.0,0,19,0,0,23,Matches
