Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
40,Fidel Ambríz,mx MEX,MF,León,22-045,2003,4.7,283,11,62,172,51,7,283,5,3,60.0,2,40.0,166,884,441,9,7,2,5,1,187,16,Matches
41,Bruno Amione,ar ARG,DF,Santos,23-122,2002,16.9,1001,106,530,417,63,17,1001,15,2,13.3,12,80.0,508,2461,1199,15,13,1,9,1,574,11,Matches
42,Esteban Andrada,ar ARG,GK,Monterrey,34-099,1991,24.0,995,754,989,7,0,0,995,2,2,100.0,0,0.0,628,3558,2343,0,0,0,3,0,470,0,Matches
43,Alejandro Andrade,mx MEX,"DF,MF",Necaxa,23-262,2001,5.7,252,22,102,115,37,2,252,8,5,62.5,3,37.5,114,569,301,3,3,0,2,2,117,6,Matches
44,Luis Ángel Malagón,mx MEX,GK,América,28-064,1997,28.5,1009,909,1005,3,1,0,1009,1,1,100.0,0,0.0,527,2149,897,0,0,0,1,0,468,0,Matches
45,Brayan Angulo,co COL,"DF,MF",Puebla,35-184,1989,28.1,1716,65,450,894,408,33,1716,92,40,43.5,51,55.4,890,5247,2962,57,48,9,33,20,1012,83,Matches
46,Jesús Angulo,mx MEX,"MF,FW",Toluca,28-074,1997,20.1,1199,3,83,663,469,60,1199,45,22,48.9,23,51.1,801,4679,2074,56,46,11,44,37,950,96,Matches
47,José Antonio Rodríguez,mx MEX,GK,Tijuana,32-305,1992,20.9,1066,693,1049,18,0,0,1066,1,1,100.0,0,0.0,676,2673,1471,0,1,1,0,0,660,0,Matches
48,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,27-257,1997,2.6,107,0,2,28,77,13,107,3,0,0.0,3,100.0,59,251,98,3,3,2,11,1,83,33,Matches
49,Uriel Antuna,mx MEX,"FW,MF",UANL,27-257,1997,8.7,472,6,34,168,276,52,472,17,4,23.5,12,70.6,282,1454,746,28,9,12,25,10,335,117,Matches
