Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-075,1995,7.5,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-018,2004,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-139,1997,26.5,31,21,28,2,1,21,34,61.8,13,26,9,17,17,48,93,4,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-068,2002,25.6,50,31,12,23,15,19,41,46.3,22,20,0,20,14,64,12,0,Matches
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,27-135,1997,0.2,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,1,Matches
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-161,2001,24.9,53,33,35,12,6,30,45,66.7,15,37,13,24,39,92,129,2,Matches
70,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-205,1992,6.7,17,11,8,8,1,7,15,46.7,8,17,4,13,9,26,10,1,Matches
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,23-079,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-015,1995,22.7,50,24,32,12,6,27,40,67.5,13,62,35,27,25,75,107,1,Matches
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,29-207,1995,5.8,7,4,0,3,4,1,4,25.0,3,7,0,7,0,7,3,0,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-314,1992,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,Matches
75,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,35-042,1990,0.7,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-242,1985,13.2,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,Matches
77,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-155,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
78,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,22-155,2002,6.4,11,5,5,3,3,3,9,33.3,6,6,1,5,4,15,7,0,Matches
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-129,1996,30.4,41,27,29,10,2,20,30,66.7,10,33,21,12,36,77,207,1,Matches
80,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-119,1998,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,Matches
81,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-119,1998,8.5,17,10,6,6,5,7,15,46.7,8,7,0,7,2,19,3,0,Matches
82,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,de Bundesliga,24-146,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
83,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-209,1998,24.9,70,49,43,18,9,48,101,47.5,53,25,8,17,30,100,54,4,Matches
84,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,26-000,1999,12.7,6,2,2,2,2,2,10,20.0,8,6,0,6,4,10,5,1,Matches
85,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-105,2004,17.9,13,9,4,5,4,4,12,33.3,8,17,1,16,5,18,8,0,Matches
86,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-290,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Matches
87,Alisson,br BRA,GK,Liverpool,eng Premier League,32-214,1992,23.9,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,1,Matches
88,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-073,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
89,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-066,1995,17.8,15,9,5,7,3,3,22,13.6,19,9,0,9,11,26,16,0,Matches
90,Dele Alli,eng ENG,MF,Como,it Serie A,29-023,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
91,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,24-008,2001,7.7,10,7,6,3,1,5,17,29.4,12,2,0,2,5,15,5,3,Matches
92,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-339,2000,19.5,44,28,16,19,9,14,34,41.2,20,18,2,16,8,52,14,1,Matches
93,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,21-000,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
94,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,31-083,1994,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0,Matches
95,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-298,1999,12.4,17,13,7,7,3,8,17,47.1,9,13,0,13,19,36,8,0,Matches
96,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-127,1990,26.0,31,20,16,12,3,22,39,56.4,17,21,7,14,31,62,115,4,Matches
97,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-268,1998,8.4,13,12,8,3,2,8,15,53.3,7,21,11,10,17,30,49,0,Matches
98,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,24-037,2001,14.1,32,16,21,9,2,17,31,54.8,14,11,6,5,14,46,43,2,Matches
99,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-252,2001,18.5,53,32,14,33,6,31,53,58.5,22,26,1,25,17,70,35,1,Matches
100,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-192,1997,18.1,44,23,24,12,8,15,33,45.5,18,21,8,13,16,60,39,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-306,2003,16.0,23,9,11,10,2,9,17,52.9,8,18,1,17,8,31,26,1,Matches
102,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-093,2000,25.2,24,16,5,10,9,8,28,28.6,20,14,0,14,0,24,10,1,Matches
103,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-100,1995,17.8,24,13,13,9,2,14,20,70.0,6,10,6,4,33,57,104,1,Matches
104,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23-000,2002,2.6,11,6,5,5,1,4,5,80.0,1,4,0,4,2,13,10,0,Matches
105,Will Alves,eng ENG,FW,Leicester City,eng Premier League,20-090,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
106,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,28-170,1996,14.0,28,16,10,17,1,9,17,52.9,8,20,1,19,14,42,4,1,Matches
107,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,18-049,2007,1.8,4,1,4,0,0,1,3,33.3,2,3,0,3,1,5,8,0,Matches
108,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-292,1996,3.9,2,0,2,0,0,1,7,14.3,6,7,1,6,2,4,6,0,Matches
109,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,31-056,1994,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,Matches
110,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-277,2003,1.0,1,0,1,0,0,0,0,,0,2,2,0,1,2,8,0,Matches
111,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-085,1998,22.3,50,27,37,12,1,26,31,83.9,5,15,9,6,10,60,79,0,Matches
112,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-082,1996,24.1,42,26,27,9,6,26,40,65.0,14,18,7,11,17,59,62,4,Matches
113,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-189,1996,24.5,44,21,13,23,8,16,43,37.2,27,18,4,14,16,60,29,2,Matches
114,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-290,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
115,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,18-290,2006,2.4,5,3,3,2,0,2,8,25.0,6,3,0,3,2,7,1,0,Matches
116,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,19-106,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
117,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-106,2006,9.5,21,15,15,5,1,10,19,52.6,9,10,0,10,12,33,4,0,Matches
