Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 30_level_0
224,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,27-265,1997,25,408,16,13.3,4.5,3,64,0,22,10,6,1.96,5,10,-5,-1.10,-1.68,5.7,6.4,-0.7,-0.16,-0.09,Matches
225,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,21-210,2003,30,1737,58,56.8,19.3,19,79,8,11,21,2,1.57,27,24,+3,+0.16,+0.29,28.7,24.3,+4.4,+0.23,+0.23,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
226,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,28-105,1997,23,531,23,19.0,5.9,4,65,0,19,14,8,1.09,11,8,+3,+0.51,+0.63,7.8,10.8,-3.0,-0.51,-0.09,Matches
227,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,35-138,1989,24,1261,53,45.2,14.0,13,78,5,11,23,0,0.92,14,31,-17,-1.21,-0.39,15.0,28.7,-13.6,-0.97,-0.48,Matches
228,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,33-235,1991,1,21,21,0.7,0.2,0,,0,1,21,0,0.00,0,1,-1,-4.29,-4.20,0.7,1.0,-0.2,-0.99,-1.21,Matches
229,Jordan Ayew,gh GHA,"FW,MF",Leicester City,eng Premier League,33-235,1991,27,1425,53,45.2,15.8,16,78,3,11,16,6,0.70,15,37,-22,-1.39,-0.09,14.8,25.0,-10.3,-0.65,+0.75,Matches
230,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23-306,2001,21,1321,63,47.3,14.7,14,83,10,7,23,1,1.38,19,21,-2,-0.14,-0.14,21.8,23.0,-1.2,-0.08,-0.52,Matches
231,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,24-024,2001,1,24,24,0.8,0.3,0,,0,1,24,7,3.00,0,0,0,0.00,-0.47,0.5,0.3,+0.1,+0.53,-0.02,Matches
232,Ilyas Azizi,fr FRA,FW,Toulouse,fr Ligue 1,17-018,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
