Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
111,Enzo Díaz,ar ARG,DF,São Paulo,29-149,1995,3.9,0,4,0,0.0,1.02,0.00,0.00,,28.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
112,Lautaro Díaz,ar ARG,FW,Cruzeiro,26-349,1998,0.7,0,1,1,100.0,1.53,1.53,0.00,0.00,29.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
113,Dieguinho,br BRA,MF,Ceará,29-186,1995,6.9,0,1,0,0.0,0.15,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
114,Dieguinho,br BRA,FW,Corinthians,17-293,2007,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
115,Dodi,br BRA,MF,Grêmio,29-018,1996,3.7,0,2,0,0.0,0.54,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
116,Fabricio Domínguez,uy URU,MF,Sport Recife,26-315,1998,1.1,0,2,0,0.0,1.80,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
117,Matheus Donelli,br BRA,GK,Corinthians,22-353,2002,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
118,Thiago dos Santos,br BRA,MF,Fluminense,35-242,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,David Duarte,br BRA,DF,Bahia,30-101,1995,4.9,0,2,0,0.0,0.41,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
120,Dudu,br BRA,"FW,MF",Cruzeiro,33-118,1992,2.4,1,2,1,50.0,0.84,0.42,0.50,1.00,16.3,0,0,0,0.6,0.6,0.31,+0.4,+0.4,Matches
121,Edenílson,br BRA,"MF,FW",Grêmio,35-138,1989,5.0,1,4,1,25.0,0.81,0.20,0.25,1.00,15.6,0,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches
122,Eder,br BRA,DF,Ceará,30-030,1995,1.0,0,1,0,0.0,1.00,0.00,0.00,,7.2,0,0,0,0.2,0.2,0.24,-0.2,-0.2,Matches
123,EDU,br BRA,DF,Vitória,24-323,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
124,Carlos Eduardo,br BRA,"MF,FW",Cruzeiro,35-200,1989,0.8,0,1,1,100.0,1.32,1.32,0.00,0.00,28.0,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
125,Carlos Eduardo,br BRA,FW,Vitória,28-207,1996,0.4,0,1,0,0.0,2.73,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Alysson Edward,br BRA,FW,Grêmio,19-000,2006,1.1,0,4,1,25.0,3.60,0.90,0.00,0.00,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
127,Rodrigo Ely,br BRA,DF,Grêmio,31-183,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Leandro Emmanuel Martínez,ar ARG,MF,Fortaleza,30-335,1994,4.0,1,4,3,75.0,1.01,0.76,0.25,0.33,21.1,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
129,Ênio,br BRA,"MF,FW",Juventude,24-063,2001,3.4,1,5,3,60.0,1.48,0.89,0.20,0.33,15.6,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
130,Erick,br BRA,"MF,DF",Bahia,27-172,1997,4.2,1,5,1,20.0,1.18,0.24,0.20,1.00,14.2,0,0,0,1.3,1.3,0.26,-0.3,-0.3,Matches
131,Erick,br BRA,"FW,MF",Vitória,27-146,1997,4.4,0,3,0,0.0,0.69,0.00,0.00,,22.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
132,Gonzalo Escobar,ar ARG,DF,Santos,28-050,1997,6.8,0,2,0,0.0,0.29,0.00,0.00,,21.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
133,Lucas Esteves,br BRA,DF,Grêmio,24-315,2000,3.7,0,3,0,0.0,0.82,0.00,0.00,,26.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
134,Lucas Evangelista,br BRA,MF,Palmeiras,29-364,1995,2.0,0,2,1,50.0,0.98,0.49,0.00,0.00,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
135,Éverson,br BRA,GK,Atlético Mineiro,34-287,1990,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,Evertton,br BRA,MF,Flamengo,22-066,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Ewerton,br BRA,DF,Juventude,24-176,2000,5.6,0,8,2,25.0,1.43,0.36,0.00,0.00,27.7,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
138,Fabinho,br BRA,"MF,FW",RB Bragantino,23-026,2002,1.2,0,3,1,33.3,2.45,0.82,0.00,0.00,25.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
139,Fábio,br BRA,GK,Fluminense,44-217,1980,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
140,Fabrício,br BRA,"FW,MF",Mirassol,28-043,1997,1.9,0,8,1,12.5,4.16,0.52,0.00,0.00,22.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
141,Fabrício,br BRA,"FW,MF",Vitória,24-209,2000,1.6,0,8,1,12.5,4.90,0.61,0.00,0.00,15.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
142,Fagner,br BRA,DF,Cruzeiro,35-328,1989,3.5,0,1,0,0.0,0.29,0.00,0.00,,21.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
143,Marcos Felipe,br BRA,GK,Bahia,29-022,1996,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
144,Matheus Fernandes,br BRA,MF,RB Bragantino,26-309,1998,2.5,0,3,0,0.0,1.21,0.00,0.00,,28.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
145,Nathan Fernandes,br BRA,MF,Botafogo (RJ),20-078,2005,0.2,0,1,0,0.0,4.29,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
146,Fernandinho,br BRA,FW,Ceará,27-290,1997,1.3,0,3,2,66.7,2.27,1.51,0.00,0.00,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
147,Fernando,br BRA,"MF,DF",Internacional,37-284,1987,4.4,0,3,3,100.0,0.69,0.69,0.00,0.00,11.6,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
148,Nahuel Ferraresi,ve VEN,DF,São Paulo,26-167,1998,4.1,0,1,1,100.0,0.24,0.24,0.00,0.00,12.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
149,Ferreira,br BRA,"FW,MF",São Paulo,27-125,1997,5.3,3,10,4,40.0,1.89,0.76,0.30,0.75,19.2,0,0,1,1.9,1.1,0.11,+1.1,+1.9,Matches
150,Bruno Ferreira,br BRA,GK,Ceará,31-050,1994,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
151,Lucas Ferreira,br BRA,FW,São Paulo,19-007,2006,4.3,0,9,4,44.4,2.10,0.93,0.00,0.00,21.2,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
152,Luiz Filipe,br BRA,FW,Mirassol,23-342,2001,0.2,0,1,0,0.0,6.43,0.00,0.00,,26.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
153,André Filipinho,br BRA,DF,Juventude,28-112,1997,3.4,0,2,0,0.0,0.59,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
