Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
471,Boyd Reith,nl NED,DF,Sparta R'dam,25-334,1999,13,870,67,31.2,9.7,9,84,8,4,30,18,0.92,9,13,-4,-0.41,-0.37,12.3,12.3,0.0,0.00,-0.02,Matches
472,Kaylen Reitmeier,de GER,GK,Sparta R'dam,,,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
473,Gabriel Reiziger,nl NED,MF,Zwolle,19-207,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
474,Devyne Rensch,nl NED,DF,Ajax,22-107,2003,14,1113,80,39.9,12.4,13,85,11,1,11,3,2.71,33,11,+22,+1.78,+1.03,26.0,11.6,+14.3,+1.16,+0.25,Matches
475,Marco Rente,de GER,DF,Groningen,28-069,1997,27,2341,87,83.9,26.0,27,87,24,0,,0,1.37,31,39,-8,-0.31,-0.31,30.0,33.6,-3.6,-0.14,+0.45,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
476,Stije Resink,nl NED,MF,Almere City,21-342,2003,3,238,79,8.5,2.6,3,79,2,0,,0,0.00,1,11,-10,-3.78,-2.79,1.3,6.8,-5.5,-2.08,-1.70,Matches
477,Stije Resink,nl NED,MF,Groningen,21-342,2003,23,1861,81,66.7,20.7,22,83,16,1,45,2,1.13,23,32,-9,-0.44,-0.53,23.8,26.8,-3.0,-0.15,+0.19,Matches
478,Paul Reverson,nl NED,GK,Ajax,19-319,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
479,Julian Rijkhoff,nl NED,FW,Ajax,20-100,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
480,Milan Robberechts,be BEL,MF,Fortuna Sittard,21-062,2004,2,10,5,0.4,0.1,0,,0,2,5,1,1.50,0,1,-1,-9.00,-8.45,0.1,0.2,-0.1,-0.93,-0.65,Matches
481,Thomas Robinet,fr FRA,"MF,FW",Almere City,28-260,1996,29,2440,84,87.5,27.1,29,84,25,0,,0,0.69,19,44,-25,-0.92,+2.42,28.9,37.6,-8.7,-0.32,+1.65,Matches
482,Miguel Rodríguez,es ESP,"FW,MF",Utrecht,22-006,2003,20,1085,54,38.9,12.1,13,71,2,7,23,3,2.10,30,14,+16,+1.33,+1.17,19.4,13.5,+5.8,+0.49,+0.57,Matches
483,Robin Roefs,nl NED,GK,NEC Nijmegen,22-108,2003,29,2610,90,93.5,29.0,29,90,29,0,,0,1.17,42,41,+1,+0.03,+1.53,38.7,34.4,+4.2,+0.15,+1.74,Matches
484,Godfried Roemeratoe,cw CUW,MF,RKC Waalwijk,25-259,1999,22,1467,67,52.6,16.3,17,80,8,5,21,7,0.55,16,41,-25,-1.53,-1.06,15.4,33.0,-17.7,-1.09,-0.67,Matches
485,Ole Romeny,id IDN,FW,Utrecht,24-319,2000,13,726,56,26.0,8.1,8,78,0,5,20,4,2.62,19,11,+8,+0.99,+0.51,10.4,11.2,-0.8,-0.10,-0.32,Matches
486,Bart van Rooij,nl NED,DF,Twente,23-344,2001,29,2582,89,92.5,28.7,29,89,27,0,,0,1.62,53,42,+11,+0.38,-0.91,45.5,36.7,+8.8,+0.31,-1.22,Matches
487,Bart van Rooij,nl NED,DF,NEC Nijmegen,23-344,2001,2,177,89,6.3,2.0,2,89,1,0,,0,0.00,1,3,-2,-1.02,-1.02,1.3,3.2,-1.9,-0.99,-1.09,Matches
488,Kaj de Rooij,nl NED,"FW,MF",Zwolle,24-161,2000,18,284,16,10.2,3.2,0,,0,18,16,12,0.94,4,6,-2,-0.63,-0.31,4.0,8.3,-4.3,-1.36,-0.80,Matches
489,Ruben Roosken,nl NED,DF,Heracles Almelo,25-064,2000,16,1222,76,43.8,13.6,15,81,11,1,1,0,0.88,17,30,-13,-0.96,-0.67,15.8,28.7,-12.8,-0.95,-0.75,Matches
490,Rayvien Rosario,cw CUW,MF,Sparta R'dam,21-024,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
491,Loreintz Rosier,fr FRA,"MF,DF",Fortuna Sittard,26-264,1998,28,1974,71,70.8,21.9,22,81,15,6,33,1,1.11,27,37,-10,-0.46,+0.43,27.1,30.7,-3.6,-0.17,+0.42,Matches
492,Daan Rots,nl NED,FW,Twente,23-284,2001,29,2014,69,72.2,22.4,25,76,6,4,29,0,1.62,41,31,+10,+0.45,-0.02,36.6,28.5,+8.1,+0.36,-0.13,Matches
493,Mats Rots,nl NED,DF,Twente,19-055,2006,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
494,Mats Rots,nl NED,DF,Heracles Almelo,19-055,2006,12,1047,87,37.5,11.6,12,87,11,0,,0,1.33,16,19,-3,-0.26,+0.52,14.0,17.3,-3.3,-0.28,+0.39,Matches
495,Manu Royo,es ESP,DF,NAC Breda,31-066,1994,3,106,35,3.8,1.2,1,90,1,2,8,11,2.00,2,4,-2,-1.70,-1.09,1.5,2.3,-0.9,-0.74,-0.19,Matches
496,Daniele Rugani,it ITA,DF,Ajax,30-280,1994,14,652,47,23.4,7.2,6,86,5,8,17,12,2.86,17,2,+15,+2.07,+1.19,15.9,4.6,+11.3,+1.56,+0.72,Matches
497,Dylan Ruward,nl NED,DF,Zwolle,20-104,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
498,Pim Saathof,nl NED,DF,Go Ahead Eag,21-128,2003,1,77,77,2.8,0.9,1,77,0,0,,11,0.00,1,3,-2,-2.34,-2.50,0.9,2.2,-1.2,-1.44,-1.74,Matches
499,Michal Sadílek,cz CZE,"MF,DF",Twente,25-339,1999,18,1356,75,48.6,15.1,15,86,10,3,23,2,1.61,27,23,+4,+0.27,-0.36,20.4,19.7,+0.7,+0.05,-0.69,Matches
500,Ibrahim Sadiq,gh GHA,FW,AZ Alkmaar,24-363,2000,16,917,57,32.9,10.2,12,71,2,4,16,1,1.63,18,8,+10,+0.98,+0.65,15.0,10.3,+4.7,+0.46,-0.08,Matches
