Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
49,Gabriel Batista,br BRA,GK,Santa Clara,26-336,1998,32.0,7,0.22,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,Gilberto Batista,gw GNB,DF,Moreirense,21-127,2003,3.2,2,0.63,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Ricardo Batista,pt POR,GK,Casa Pia,38-167,1986,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23-305,2001,19.5,35,1.80,24,0,4,4,2,1,6,0.31,3,0,1,1,1,0,Matches
53,Gui Beleza,pt POR,MF,Gil Vicente FC,18-147,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Bachir Belloumi,dz ALG,FW,Farense,22-338,2002,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Andrea Belotti,it ITA,FW,Benfica,31-136,1993,4.5,24,5.32,10,0,1,6,6,1,4,0.89,1,0,0,1,2,0,Matches
56,Fahem Benaissa Yahia,fr FRA,"DF,MF",Casa Pia,23-006,2002,2.5,1,0.40,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Beni,ao ANG,MF,Vitória,22-349,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,Beni,ao ANG,MF,Casa Pia,22-349,2002,8.3,5,0.60,4,0,0,0,0,1,1,0.12,0,0,0,0,0,1,Matches
59,Álex Bermejo,es ESP,"MF,FW",Farense,26-145,1998,6.3,23,3.64,9,8,2,2,2,0,0,0.00,0,0,0,0,0,0,Matches
60,Sergio Bermejo,es ESP,"MF,FW",Gil Vicente FC,27-261,1997,4.5,11,2.46,7,0,2,0,2,0,0,0.00,0,0,0,0,0,0,Matches
61,Simão Bertelli,br BRA,GK,AVS Futebol,31-337,1993,11.0,2,0.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Jan-Niklas Beste,de GER,"FW,DF",Benfica,26-121,1999,5.6,26,4.67,16,8,0,1,0,1,3,0.54,1,2,0,0,0,0,Matches
63,José Bica,pt POR,"FW,MF",Vitória,21-323,2003,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
