Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 29_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
51,Luke Ayling,eng ENG,DF,Middlesbrough,33-252,1991,26,1951,75,47.1,21.7,23,82,16,3,18,4,1.50,35,24,+11,+0.51,+0.63,34.4,21.0,+13.4,+0.62,+0.68,Matches
52,Finn Azaz,ie IRL,"MF,FW",Middlesbrough,24-239,2000,45,3544,79,85.6,39.4,43,81,18,2,20,0,1.42,60,44,+16,+0.41,+1.61,59.9,42.9,+17.0,+0.43,+1.22,Matches
53,Femi Azeez,eng ENG,FW,Millwall,23-333,2001,34,1906,56,46.0,21.2,21,78,7,13,20,0,1.29,22,22,0,0.00,+0.08,25.1,23.1,+2.0,+0.09,+0.03,Matches
54,Abdoullah Ba,fr FRA,MF,Sunderland,21-277,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
55,Kwadwo Baah,eng ENG,"MF,FW",Watford,22-097,2003,27,1459,54,35.2,16.2,16,72,4,11,27,1,1.41,24,20,+4,+0.25,+0.65,24.0,21.0,+3.0,+0.18,+0.66,Matches
56,Daniel Bachmann,at AUT,GK,Watford,30-299,1994,22,1902,86,45.9,21.1,22,86,21,0,,4,1.41,30,28,+2,+0.09,+0.50,28.0,30.1,-2.0,-0.10,+0.27,Matches
57,Joel Bagan,ie IRL,DF,Cardiff City,24-362,2000,31,1612,52,38.9,17.9,17,75,10,14,24,13,0.97,20,30,-10,-0.56,-0.02,16.8,22.9,-6.0,-0.34,+0.06,Matches
58,Michael Baidoo,gh GHA,"MF,FW",Plymouth Argyle,25-355,1999,11,452,41,10.9,5.0,4,74,1,7,22,5,1.09,3,12,-9,-1.79,-1.11,4.7,7.9,-3.2,-0.63,+0.35,Matches
59,Oliver Bainbridge,eng ENG,DF,Sunderland,19-334,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
60,Stefan Bajic,fr FRA,GK,Bristol City,23-132,2001,0,,,,,0,,0,0,,46,,,,,,,,,,,,Matches
61,Lewis Baker,eng ENG,MF,Stoke City,30-009,1995,19,1475,78,35.6,16.4,16,89,13,3,18,2,1.21,18,24,-6,-0.37,+0.01,15.9,24.3,-8.4,-0.51,-0.05,Matches
62,Lewis Baker,eng ENG,"MF,FW",Blackburn,30-009,1995,13,596,46,14.4,6.6,7,75,2,6,11,8,1.69,7,5,+2,+0.30,+0.23,6.0,5.0,+1.0,+0.15,+0.23,Matches
63,Zak Baker,eng ENG,GK,Plymouth Argyle,19-097,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
64,Daniel Ballard,nir NIR,DF,Sunderland,25-224,1999,20,1127,56,27.2,12.5,12,86,10,8,12,2,1.55,18,16,+2,+0.16,-0.20,19.3,11.1,+8.2,+0.66,+0.63,Matches
65,Patrick Bamford,eng ENG,FW,Leeds United,31-241,1993,17,252,15,6.1,2.8,0,,0,17,15,11,1.82,6,2,+4,+1.43,+0.02,6.1,2.7,+3.4,+1.20,-0.10,Matches
66,Raees Bangura-Williams,,"FW,MF",Millwall,,,10,608,61,14.7,6.8,7,78,2,3,21,3,1.70,9,6,+3,+0.44,+0.57,6.7,7.7,-1.0,-0.15,-0.26,Matches
67,Barry Bannan,sct SCO,MF,Sheffield Weds,35-154,1989,41,3461,84,83.6,38.5,40,86,29,1,33,1,1.29,50,57,-7,-0.18,+0.08,52.1,49.0,+3.1,+0.08,+0.48,Matches
68,Tammer Bany,dk DEN,"MF,FW",West Brom,21-197,2003,4,53,13,1.3,0.6,0,,0,4,13,2,0.75,1,2,-1,-1.70,-1.94,2.6,0.9,+1.7,+2.90,+2.70,Matches
69,Jamal Baptiste,eng ENG,DF,Sheffield Utd,21-174,2003,1,7,7,0.2,0.1,0,,0,1,7,12,3.00,0,0,0,0.00,-0.59,0.0,0.0,0.0,+0.24,-0.11,Matches
70,Shandon Baptiste,gd GRN,MF,Luton Town,27-026,1998,16,717,45,17.3,8.0,7,74,0,9,22,1,0.94,7,16,-9,-1.13,-0.74,10.4,9.8,+0.6,+0.08,+0.25,Matches
71,Daniel Barden,wls WAL,GK,Norwich City,24-122,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
72,Tom Barkhuizen,eng ENG,"FW,MF",Derby County,31-304,1993,19,404,21,9.8,4.5,2,65,0,17,16,18,0.53,3,9,-6,-1.34,-1.29,5.0,7.5,-2.5,-0.56,-0.54,Matches
73,Daniel Barlaser,tr TUR,MF,Middlesbrough,28-106,1997,23,1155,50,27.9,12.8,12,83,9,11,14,23,1.48,25,21,+4,+0.31,+0.19,18.0,15.5,+2.4,+0.19,-0.09,Matches
74,Ashley Barnes,eng ENG,"FW,MF",Norwich City,35-186,1989,8,173,22,4.2,1.9,1,67,0,7,15,1,1.38,2,1,+1,+0.52,+0.47,1.7,1.4,+0.4,+0.18,-0.04,Matches
75,Ashley Barnes,eng ENG,"FW,MF",Burnley,35-186,1989,13,134,10,3.2,1.5,1,78,0,12,5,7,2.29,4,1,+3,+2.01,+0.89,3.5,2.9,+0.6,+0.39,-0.01,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
76,Louie Barry,eng ENG,"FW,MF",Hull City,21-317,2003,4,165,41,4.0,1.8,2,49,0,2,34,0,1.00,2,2,0,0.00,+0.23,1.8,1.7,+0.1,+0.06,+0.09,Matches
77,Kyle Bartley,eng ENG,DF,West Brom,33-347,1991,31,2610,84,63.0,29.0,30,86,26,1,20,2,1.48,36,30,+6,+0.21,-0.03,37.1,29.3,+7.8,+0.27,+0.09,Matches
78,Norman Bassette,be BEL,FW,Coventry City,20-176,2004,25,907,36,21.9,10.1,11,67,1,14,12,12,1.48,14,14,0,0.00,-0.17,17.1,11.1,+6.0,+0.60,+0.34,Matches
79,Danny Batth,eng ENG,DF,Blackburn,34-225,1990,37,3009,81,72.7,33.4,34,87,30,3,21,2,1.49,35,33,+2,+0.06,-0.18,39.0,37.8,+1.2,+0.04,+0.29,Matches
80,Patrick Bauer,de GER,DF,Preston,32-188,1992,1,6,6,0.1,0.1,0,,0,1,6,24,1.00,0,1,-1,-15.00,-14.78,0.0,0.3,-0.3,-4.48,-4.35,Matches
81,James Beadle,eng ENG,GK,Sheffield Weds,20-292,2004,38,3420,90,82.6,38.0,38,90,38,0,,8,1.34,53,59,-6,-0.16,+0.22,51.4,52.4,-1.0,-0.03,-0.15,Matches
82,Owen Beck,wls WAL,"DF,FW",Blackburn,22-268,2002,24,1874,78,45.3,20.8,21,86,19,3,21,0,1.33,20,17,+3,+0.14,+0.06,23.0,23.0,0.0,0.00,+0.08,Matches
83,Chris Bedia,ci CIV,FW,Hull City,29-060,1996,21,921,44,22.2,10.2,9,82,3,12,16,2,0.67,13,17,-4,-0.39,-0.22,14.5,15.7,-1.2,-0.12,-0.12,Matches
84,Amari'i Bell,jm JAM,DF,Luton Town,30-364,1994,31,2706,87,65.4,30.1,31,87,26,0,,1,1.03,25,41,-16,-0.53,-0.03,31.7,33.7,-2.0,-0.07,+0.19,Matches
85,Luke Bell,,GK,Coventry City,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
86,Sam Bell,eng ENG,"FW,DF",Bristol City,22-346,2002,20,440,22,10.6,4.9,0,,0,20,22,10,1.30,7,7,0,0.00,-0.10,6.7,8.0,-1.3,-0.26,-0.37,Matches
87,Jobe Bellingham,eng ENG,MF,Sunderland,19-223,2005,40,3507,88,84.7,39.0,39,89,38,1,30,0,1.78,52,37,+15,+0.38,+0.53,51.2,40.6,+10.6,+0.27,+0.49,Matches
88,Bachir Belloumi,dz ALG,"FW,MF",Hull City,22-337,2002,10,815,82,19.7,9.1,10,82,4,0,,0,1.20,12,14,-2,-0.22,0.00,10.8,12.0,-1.2,-0.14,-0.14,Matches
89,Anis Ben Slimane,tn TUN,MF,Norwich City,24-049,2001,33,2091,63,50.5,23.2,25,73,4,8,32,1,1.21,37,40,-3,-0.13,-0.39,31.7,28.1,+3.6,+0.15,-0.13,Matches
90,Anis Ben Slimane,tn TUN,MF,Sheffield Utd,24-049,2001,3,46,15,1.1,0.5,0,,0,3,15,0,1.67,0,1,-1,-1.96,-2.57,0.8,0.2,+0.6,+1.19,+0.85,Matches
91,Benedict Benagr,eng ENG,DF,Luton Town,17-229,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
92,Joe Bennett,eng ENG,DF,Oxford United,35-037,1990,12,744,62,18.0,8.3,8,80,4,4,27,0,1.42,10,12,-2,-0.24,+0.13,5.3,12.5,-7.2,-0.87,-0.42,Matches
93,Daniel Bennie,au AUS,"FW,MF",QPR,19-021,2006,12,216,18,5.2,2.4,1,63,0,11,14,20,1.17,2,3,-1,-0.42,-0.21,2.3,3.4,-1.1,-0.46,-0.35,Matches
94,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,34-189,1990,1,16,16,0.4,0.2,0,,0,1,16,0,3.00,2,0,+2,+11.25,+10.14,0.1,0.0,+0.1,+0.60,+0.20,Matches
95,Di'Shon Bernard,jm JAM,DF,Sheffield Weds,24-202,2000,27,2235,83,54.0,24.8,26,85,22,1,18,0,1.30,32,35,-3,-0.12,+0.16,32.9,33.1,-0.2,-0.01,-0.02,Matches
96,Kian Best,eng ENG,DF,Preston,19-250,2005,1,4,4,0.1,0.0,0,,0,1,4,11,0.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-4.98,-4.84,Matches
97,Florian Bianchini,fr FRA,FW,Swansea City,23-313,2001,36,1103,31,26.6,12.3,8,70,1,28,19,8,1.25,13,23,-10,-0.82,-0.96,15.9,14.0,+1.9,+0.15,+0.25,Matches
98,Jake Bidwell,eng ENG,DF,Coventry City,32-044,1993,29,2062,71,49.8,22.9,23,83,14,6,24,11,1.48,30,27,+3,+0.13,0.00,32.0,24.0,+8.0,+0.35,+0.03,Matches
99,Luis Binks,eng ENG,DF,Coventry City,23-244,2001,22,1852,84,44.7,20.6,21,88,18,1,1,24,1.32,27,30,-3,-0.15,-0.50,30.5,22.1,+8.5,+0.41,+0.14,Matches
100,Max Bird,eng ENG,MF,Bristol City,24-228,2000,46,3481,76,84.1,38.7,43,79,20,3,29,0,1.48,50,44,+6,+0.16,+0.43,51.0,45.9,+5.1,+0.13,+0.42,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Colby Bishop,eng ENG,FW,Portsmouth,28-181,1996,32,2629,82,63.5,29.2,31,84,21,1,13,0,1.41,41,42,-1,-0.03,+0.68,37.8,40.3,-2.4,-0.08,+0.58,Matches
102,Billy Blacker,eng ENG,MF,Sheffield Utd,18-344,2006,1,1,1,0.0,0.0,0,,0,1,1,9,3.00,0,0,0,0.00,-0.59,0.0,0.0,0.0,0.00,-0.35,Matches
103,Corey Blackett-Taylor,eng ENG,"FW,MF",Derby County,27-223,1997,12,404,34,9.8,4.5,4,59,0,8,21,10,0.50,3,6,-3,-0.67,-0.55,6.4,6.7,-0.3,-0.07,-0.01,Matches
104,Harvey Blair,eng ENG,FW,Portsmouth,21-232,2003,12,294,25,7.1,3.3,3,43,0,9,18,8,0.58,5,11,-6,-1.84,-1.67,2.6,9.2,-6.6,-2.02,-1.85,Matches
105,Malachi Boateng,eng ENG,MF,Plymouth Argyle,22-303,2002,7,198,28,4.8,2.2,1,90,1,6,18,6,0.57,1,6,-5,-2.27,-1.54,2.1,3.2,-1.1,-0.49,+0.47,Matches
106,Eric Bocat,fr FRA,DF,Stoke City,25-292,1999,30,2041,68,49.3,22.7,23,84,17,7,17,3,1.17,19,29,-10,-0.44,-0.14,24.5,35.9,-11.4,-0.50,-0.04,Matches
107,Jayden Bogle,eng ENG,DF,Leeds United,24-281,2000,44,3824,87,92.4,42.5,44,87,32,0,,0,2.14,82,28,+54,+1.27,-1.86,81.3,28.5,+52.8,+1.24,-0.68,Matches
108,Jonathan Bond,eng ENG,GK,Watford,31-350,1993,9,798,89,19.3,8.9,8,90,8,1,78,29,1.11,10,14,-4,-0.45,-0.34,10.4,15.7,-5.3,-0.60,-0.44,Matches
109,Jack Bonham,ie IRL,GK,Stoke City,31-232,1993,0,,,,,0,,0,0,,42,,,,,,,,,,,,Matches
110,Neto Borges,br BRA,DF,Middlesbrough,28-233,1996,35,2891,83,69.8,32.1,34,84,25,1,22,3,1.51,48,37,+11,+0.34,+0.56,45.4,36.6,+8.8,+0.27,+0.06,Matches
111,Raphael Borges Rodrigues,au AUS,"MF,FW",Coventry City,21-235,2003,3,10,3,0.2,0.1,0,,0,3,3,14,1.33,0,0,0,0.00,-0.13,0.2,0.9,-0.7,-6.65,-7.00,Matches
112,Oliver Bostock,wls WAL,FW,West Brom,18-073,2007,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
113,Ibane Bowat,sct SCO,DF,Portsmouth,22-231,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
114,Josh Bowler,eng ENG,"FW,DF",Preston,26-060,1999,10,456,46,11.0,5.1,6,62,0,4,22,10,1.00,4,10,-6,-1.18,-1.06,5.3,7.4,-2.1,-0.41,-0.30,Matches
115,Josh Bowler,eng ENG,"MF,FW",Luton Town,26-060,1999,8,150,19,3.6,1.7,0,,0,8,19,5,0.63,2,1,+1,+0.60,+1.16,1.9,3.3,-1.4,-0.84,-0.73,Matches
116,Harry Boyes,eng ENG,MF,Sheffield Utd,23-183,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
117,Sonny Bradley,eng ENG,DF,Derby County,33-233,1991,7,303,43,7.3,3.4,3,65,1,4,27,16,1.43,2,4,-2,-0.59,-0.45,2.7,5.5,-2.8,-0.82,-0.81,Matches
