Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Expected,Expected,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
237,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,22-244,2002,22.8,703,862,81.6,9596,2348,460,515,89.3,206,256,80.5,20,33,60.6,10,10.0,5.3,0.0,49,27,48,3,93,Matches
238,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,24-179,2000,19.5,819,1056,77.6,13589,4770,415,448,92.6,337,423,79.7,52,129,40.3,0,1.7,2.3,-1.7,14,70,23,11,78,Matches
239,Nicolò Barella,it ITA,MF,Inter,it Serie A,28-086,1997,26.0,1375,1674,82.1,24210,7044,623,702,88.7,590,684,86.3,137,212,64.6,6,4.3,5.1,+1.7,52,156,49,12,214,Matches
240,Gabriel Bares,ch SUI,"MF,DF",Montpellier,fr Ligue 1,24-248,2000,0.6,34,40,85.0,590,199,17,19,89.5,13,14,92.9,4,7,57.1,0,0.0,0.0,0.0,0,5,0,0,3,Matches
241,Borna Barišić,hr CRO,DF,Leganés,es La Liga,32-175,1992,0.1,3,4,75.0,48,2,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
242,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,28-033,1997,2.9,65,101,64.4,1200,382,29,36,80.6,23,33,69.7,10,18,55.6,0,0.8,1.0,-0.8,8,3,7,6,3,Matches
243,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,31-150,1993,6.3,326,379,86.0,5081,1191,169,191,88.5,138,151,91.4,13,19,68.4,1,0.6,0.4,+0.4,9,29,6,0,33,Matches
244,Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,26-348,1998,0.8,26,37,70.3,506,182,14,17,82.4,6,9,66.7,4,5,80.0,0,0.1,0.3,-0.1,1,7,3,1,5,Matches
245,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,27-146,1997,15.7,402,507,79.3,5599,1604,258,296,87.2,127,170,74.7,11,17,64.7,4,3.7,4.2,+0.3,21,21,34,8,69,Matches
246,Enzo Barrenechea,ar ARG,MF,Valencia,es La Liga,23-347,2001,21.2,999,1164,85.8,17286,4812,466,515,90.5,427,473,90.3,90,131,68.7,2,0.9,1.0,+1.1,14,130,7,0,113,Matches
247,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,es La Liga,23-128,2001,11.9,329,460,71.5,5465,1257,181,216,83.8,96,136,70.6,40,60,66.7,3,1.8,2.2,+1.2,15,22,19,3,44,Matches
248,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,21-323,2003,24.6,1244,1445,86.1,20024,5444,653,712,91.7,478,527,90.7,85,134,63.4,3,1.6,1.6,+1.4,24,142,21,3,139,Matches
249,Thierno Barry,fr FRA,FW,Villarreal,es La Liga,22-195,2002,24.3,198,317,62.5,2821,504,108,158,68.4,69,113,61.1,9,17,52.9,3,2.7,1.5,+0.3,21,14,12,1,27,Matches
250,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,19-126,2005,0.6,21,30,70.0,316,93,14,16,87.5,5,10,50.0,2,3,66.7,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
251,Marc Bartra,es ESP,DF,Betis,es La Liga,34-109,1991,19.5,799,993,80.5,16224,5592,270,288,93.8,409,457,89.5,109,219,49.8,1,0.1,0.2,+0.9,3,49,5,1,54,Matches
252,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,28-226,1996,35.0,1315,1525,86.2,26616,9194,412,450,91.6,711,772,92.1,184,280,65.7,0,0.2,0.5,-0.2,4,49,5,0,63,Matches
253,Daniele Baselli,it ITA,MF,Como,it Serie A,33-053,1992,0.2,24,27,88.9,437,123,7,8,87.5,16,17,94.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches
254,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,25-124,1999,32.2,1822,2030,89.8,32168,11248,770,810,95.1,892,949,94.0,131,213,61.5,0,0.1,0.4,-0.1,3,143,2,0,107,Matches
255,Aboubacar Bassinga,ci CIV,MF,Las Palmas,es La Liga,19-295,2005,0.0,2,4,50.0,53,0,1,1,100.0,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
256,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,26-021,1999,24.8,1836,2069,88.7,34101,10545,778,814,95.6,820,881,93.1,213,313,68.1,4,2.3,2.7,+1.7,26,121,48,23,157,Matches
257,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-004,1996,28.0,697,1035,67.3,20624,15301,102,103,99.0,357,362,98.6,237,564,42.0,0,0.0,0.1,0.0,1,23,1,0,2,Matches
258,Michy Batshuayi,be BEL,FW,Eint Frankfurt,de Bundesliga,31-214,1993,2.8,45,57,78.9,587,133,31,35,88.6,10,16,62.5,2,2,100.0,0,0.0,0.4,0.0,1,2,2,0,7,Matches
259,Dylan Batubinsika,cd COD,DF,Saint-Étienne,fr Ligue 1,29-078,1996,21.9,1075,1174,91.6,19582,6087,385,400,96.3,614,652,94.2,65,103,63.1,0,0.2,0.4,-0.2,4,46,3,1,49,Matches
260,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,25-084,2000,7.3,275,340,80.9,5313,1982,97,111,87.4,143,162,88.3,34,61,55.7,0,0.1,0.1,-0.1,2,31,2,2,30,Matches
261,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34-336,1990,26.0,697,987,70.6,20089,15236,122,123,99.2,351,353,99.4,220,504,43.7,0,1.0,0.6,-1.0,3,32,3,0,1,Matches
262,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,25-276,1999,16.9,394,578,68.2,5900,1686,208,271,76.8,126,172,73.3,28,52,53.8,1,1.3,1.7,-0.3,19,35,16,1,49,Matches
263,Rafael Bauza,es ESP,MF,Espanyol,es La Liga,20-094,2005,2.0,46,54,85.2,779,192,24,25,96.0,17,20,85.0,4,7,57.1,0,0.0,0.0,0.0,0,3,1,0,7,Matches
264,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-020,1998,1.0,32,61,52.5,942,540,2,2,100.0,17,20,85.0,13,39,33.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
265,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,27-329,1997,16.4,536,673,79.6,9259,2162,247,300,82.3,216,248,87.1,54,74,73.0,1,1.2,1.9,-0.2,20,51,18,4,63,Matches
266,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,30-084,1995,11.0,198,311,63.7,3361,742,103,130,79.2,77,121,63.6,15,33,45.5,1,2.0,1.7,-1.0,8,6,17,5,23,Matches
267,Timo Becker,de GER,DF,Holstein Kiel,de Bundesliga,28-040,1997,24.2,733,938,78.1,14178,5392,283,315,89.8,345,415,83.1,93,162,57.4,2,0.8,1.0,+1.2,6,35,9,4,53,Matches
268,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,29-022,1996,27.1,1547,1668,92.7,27450,8857,586,614,95.4,844,891,94.7,104,136,76.5,0,0.5,0.9,-0.5,5,72,1,0,59,Matches
269,Donny van de Beek,nl NED,MF,Girona,es La Liga,28-016,1997,15.8,365,447,81.7,5265,1056,216,242,89.3,120,147,81.6,16,24,66.7,2,3.2,3.6,-1.2,18,21,11,0,45,Matches
270,Hannes Behrens,de GER,DF,Hoffenheim,de Bundesliga,,,0.3,16,22,72.7,253,33,10,12,83.3,4,5,80.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,1,Matches
