Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
151,Simon Elisor,fr FRA,FW,Famalicão,25-287,1999,5.6,156,3,10,90,62,16,156,10,6,60.0,3,30.0,103,542,209,11,11,5,16,3,122,32,Matches
152,Úmaro Embaló,pt POR,"FW,MF",Vitória,23-364,2001,1.6,96,0,7,43,47,3,96,4,0,0.0,4,100.0,59,393,169,4,6,0,7,1,65,16,Matches
153,Rui Encarnação,pt POR,GK,Nacional,27-030,1998,0.5,11,9,11,0,0,0,11,0,0,,0,,2,12,4,0,0,0,0,0,2,0,Matches
154,Ricardo Esgaio,pt POR,DF,Sporting CP,31-354,1993,2.6,193,9,62,108,25,1,193,0,0,,0,,113,471,236,5,4,0,1,0,132,4,Matches
155,Tiago Esgaio,pt POR,DF,Arouca,29-277,1995,24.2,1644,108,574,726,350,44,1644,9,5,55.6,3,33.3,672,2530,1427,27,20,5,16,9,825,78,Matches
156,Dario Essugo,pt POR,MF,Sporting CP,20-052,2005,0.2,15,0,2,11,2,0,15,1,1,100.0,0,0.0,9,53,19,1,0,0,1,0,14,0,Matches
157,Luís Esteves,pt POR,MF,Nacional,27-026,1998,30.2,1541,25,276,888,402,29,1541,41,16,39.0,23,56.1,901,4840,2367,52,53,2,57,26,1023,75,Matches
158,Stephen Eustáquio,ca CAN,"MF,DF",Porto,28-135,1996,20.4,1563,51,326,960,290,30,1563,6,2,33.3,4,66.7,830,3692,1616,11,13,0,20,10,1126,36,Matches
159,Evanilson,br BRA,FW,Porto,25-211,1999,0.1,7,0,0,3,4,1,7,1,0,0.0,1,100.0,5,11,0,0,1,0,1,0,4,0,Matches
160,Claudio Falcão,br BRA,"DF,MF",Farense,30-306,1994,29.7,1313,186,643,558,124,47,1313,16,8,50.0,6,37.5,558,2382,994,7,15,2,11,12,620,13,Matches
161,Eduardo Felicíssimo,pt POR,MF,Sporting CP,18-117,2007,2.2,105,3,17,73,15,1,105,2,1,50.0,1,50.0,45,224,90,2,0,0,4,0,57,1,Matches
162,Nuno Felix,pt POR,MF,Benfica,21-050,2004,0.2,18,0,1,14,3,0,18,0,0,,0,,15,67,42,0,0,0,0,0,15,0,Matches
163,Vando Félix,gw GNB,"FW,MF",Vitória,22-244,2002,5.3,228,1,30,77,126,19,228,29,9,31.0,18,62.1,148,1031,432,17,12,7,18,3,160,47,Matches
164,Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,28-033,1997,4.6,292,18,139,148,7,2,292,1,1,100.0,0,0.0,171,876,541,2,2,0,3,1,200,1,Matches
165,Lucas Fernandes,br BRA,"MF,FW",AVS Futebol,27-227,1997,5.5,247,6,43,169,38,1,247,7,3,42.9,3,42.9,171,960,321,7,2,0,7,7,192,7,Matches
166,Martim Fernandes,pt POR,DF,Porto,19-107,2006,14.0,909,28,200,426,289,30,909,37,22,59.5,13,35.1,477,2364,1164,36,20,9,20,15,580,104,Matches
167,Mateus Fernandes,pt POR,"FW,MF",Sporting CP,20-299,2004,0.3,28,0,4,9,15,0,28,2,1,50.0,1,50.0,24,163,96,4,4,0,0,1,24,2,Matches
168,Roger Fernandes,gw GNB,"FW,MF",Braga,19-165,2005,17.3,938,12,106,349,508,67,938,61,31,50.8,26,42.6,605,4162,2256,80,46,34,42,22,626,165,Matches
169,Rúben Fernandes,pt POR,DF,Gil Vicente FC,38-364,1986,27.8,2072,244,1179,844,55,31,2072,2,2,100.0,0,0.0,1284,5819,3471,21,6,0,10,4,1510,10,Matches
170,Roberto Férnandez,es ESP,FW,Braga,22-306,2002,5.6,172,1,2,68,104,29,172,11,5,45.5,6,54.5,85,320,122,6,1,5,14,6,124,31,Matches
171,João Ferreira Barros,pt POR,"MF,FW",Boavista,19-115,2006,2.9,115,3,18,55,46,8,115,10,6,60.0,4,40.0,57,409,213,8,3,2,6,5,60,11,Matches
172,Filipe Ferreira,pt POR,DF,Boavista,34-220,1990,21.9,1108,88,457,516,143,3,1108,24,11,45.8,12,50.0,559,2507,1329,18,11,0,15,6,621,22,Matches
173,Fernando Ferreira Fonseca,pt POR,"DF,MF",AVS Futebol,28-052,1997,18.2,1126,52,372,464,299,8,1126,19,10,52.6,9,47.4,438,2268,1166,35,18,4,27,10,526,55,Matches
174,João Ferreira,pt POR,DF,Braga,24-044,2001,14.4,1090,62,344,619,136,13,1090,18,11,61.1,6,33.3,655,3217,1884,25,17,1,8,8,722,37,Matches
175,Marcelo dos Santos Ferreira,br BRA,DF,Moreirense,35-282,1989,31.0,1953,264,1255,666,37,26,1953,2,1,50.0,1,50.0,1061,4240,2247,3,2,0,5,3,1224,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
176,Pedro Ferreira,pt POR,MF,Santa Clara,27-120,1998,19.0,803,33,211,432,168,15,803,13,9,69.2,4,30.8,298,1281,375,8,12,1,15,6,376,27,Matches
177,Tiago Ferreira,pt POR,FW,Estrela,23-048,2002,0.4,18,0,0,6,12,0,18,1,0,0.0,1,100.0,4,14,4,0,0,0,1,0,10,4,Matches
178,Daniel Figueira,pt POR,GK,Estoril,26-289,1998,1.0,25,23,25,0,0,0,25,0,0,,0,,15,111,64,0,0,0,0,0,7,0,Matches
179,Sidoine Fogning,cm CMR,"DF,MF",Boavista,23-175,2001,10.0,478,67,278,187,15,3,478,9,4,44.4,5,55.6,201,779,378,2,0,0,7,0,236,2,Matches
180,Tiago Fonseca Morais,pt POR,"FW,MF",Rio Ave,21-244,2003,15.8,635,8,99,286,262,43,634,79,21,26.6,52,65.8,378,2290,1108,31,19,12,30,17,443,97,Matches
181,José Fontán,es ESP,DF,Arouca,25-083,2000,27.8,1983,257,1106,854,31,11,1983,4,3,75.0,0,0.0,1165,5445,3101,9,9,0,7,0,1404,3,Matches
182,José Fonte,pt POR,DF,Casa Pia,41-134,1983,21.5,1122,178,653,444,33,19,1122,5,2,40.0,2,40.0,584,2714,1236,4,3,1,14,1,661,4,Matches
183,Lucas França,br BRA,GK,Nacional,29-106,1996,31.5,1052,922,1050,2,0,0,1052,1,1,100.0,0,0.0,471,2641,1661,0,0,0,1,0,341,0,Matches
184,André Franco,pt POR,"MF,FW",Porto,27-023,1998,5.3,307,3,25,175,108,7,307,4,1,25.0,3,75.0,175,864,363,8,5,1,6,7,227,19,Matches
