Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
89,Vito van Crooy,nl NED,"MF,FW",NEC Nijmegen,29-096,1996,19.0,42,2.21,22,10,1,4,4,1,7,0.37,4,1,0,1,1,0,Matches
90,Alessio da Cruz,cv CPV,FW,Fortuna Sittard,28-107,1997,13.2,13,0.99,5,0,2,4,2,0,1,0.08,1,0,0,0,0,0,Matches
91,Ro-Zangelo Daal,nl NED,FW,AZ Alkmaar,21-084,2004,0.5,2,4.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
92,Jasper Dahlhaus,nl NED,"DF,FW",Fortuna Sittard,23-159,2001,17.4,36,2.07,27,3,3,2,0,1,4,0.23,3,0,1,0,0,0,Matches
93,Matteo Dams,be BEL,DF,PSV Eindhoven,21-057,2004,10.2,24,2.36,22,1,1,0,0,0,3,0.29,3,0,0,0,0,0,Matches
94,Damil Dankerlui,sr SUR,"DF,FW",Almere City,28-254,1996,1.8,5,2.85,3,2,0,0,0,0,1,0.57,1,0,0,0,0,0,Matches
95,Argyrios Darelas,gr GRE,"MF,FW",NEC Nijmegen,21-201,2003,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Brynjolfur Darri Willumsson,is ISL,"FW,MF",Groningen,24-266,2000,9.9,21,2.13,16,0,1,0,4,0,2,0.20,1,0,0,0,1,0,Matches
97,Jari De Busser,be BEL,GK,Go Ahead Eag,25-196,1999,14.0,3,0.21,3,0,0,0,0,0,2,0.14,2,0,0,0,0,0,Matches
98,Brian De Keersmaecker,be BEL,MF,Heracles Almelo,24-364,2000,27.6,62,2.24,49,1,5,2,4,1,8,0.29,4,0,1,1,1,1,Matches
99,Mats Deijl,nl NED,DF,Go Ahead Eag,27-294,1997,31.0,56,1.81,40,4,2,6,4,0,6,0.19,5,0,0,0,1,0,Matches
100,Maxim Dekker,nl NED,DF,AZ Alkmaar,21-014,2004,5.5,8,1.44,8,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Logan Delaurier Chaubet,fr FRA,FW,Almere City,23-013,2002,6.2,18,2.91,12,0,1,2,1,2,1,0.16,0,0,0,1,0,0,Matches
102,Branco van den Boomen,nl NED,MF,Ajax,29-288,1995,7.0,29,4.14,24,4,0,1,0,0,3,0.43,3,0,0,0,0,0,Matches
103,Damian van der Haar,nl NED,DF,Zwolle,21-109,2004,19.9,26,1.30,22,2,2,0,0,0,6,0.30,5,0,1,0,0,0,Matches
104,Mickey van der Hart,nl NED,GK,Heerenveen,30-326,1994,18.0,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,Mike van der Hoorn,nl NED,DF,Utrecht,32-202,1992,26.4,27,1.02,23,0,0,2,1,1,4,0.15,4,0,0,0,0,0,Matches
106,Djevencio van der Kust,sr SUR,DF,Sparta R'dam,24-005,2001,10.3,11,1.07,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Richard van der Venne,nl NED,"MF,FW",RKC Waalwijk,32-354,1992,8.2,21,2.58,18,0,0,2,1,0,2,0.25,2,0,0,0,0,0,Matches
108,Silvester van der Water,nl NED,"FW,MF",RKC Waalwijk,28-217,1996,6.9,12,1.74,9,1,2,0,0,0,1,0.15,1,0,0,0,0,0,Matches
109,David van der Werff,nl NED,MF,Groningen,20-247,2004,0.2,2,9.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Anthony Descotte,be BEL,"FW,MF",Utrecht,21-275,2003,4.4,15,3.39,11,0,1,2,1,0,3,0.68,1,0,0,1,1,0,Matches
111,Sergiño Dest,us USA,DF,PSV Eindhoven,24-183,2000,2.0,4,2.05,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
112,Matisse Didden,be BEL,DF,Utrecht,23-209,2001,4.6,2,0.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Thomas Didillon,fr FRA,GK,Willem II,29-158,1995,31.0,4,0.13,4,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
114,Mitchell Dijks,nl NED,DF,Fortuna Sittard,32-085,1993,17.2,28,1.63,19,2,5,0,2,0,6,0.35,4,0,1,0,1,0,Matches
115,Elijah Dijkstra,nl NED,DF,AZ Alkmaar,18-273,2006,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
116,Julius Dirksen,nl NED,"DF,MF",Go Ahead Eag,22-092,2003,0.8,4,4.93,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
117,Nick Doodeman,nl NED,"FW,MF",Willem II,28-195,1996,14.5,32,2.21,16,13,0,1,2,0,4,0.28,1,3,0,0,0,0,Matches
118,Couhaib Driouech,ma MAR,FW,PSV Eindhoven,23-018,2002,3.0,16,5.26,14,1,1,0,0,0,1,0.33,1,0,0,0,0,0,Matches
119,Joel Drommel,nl NED,GK,PSV Eindhoven,28-170,1996,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Laros Duarte,cv CPV,MF,Groningen,28-066,1997,0.2,3,13.50,0,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
121,Oliver Edvardsen,no NOR,FW,Ajax,26-047,1999,3.2,11,3.43,11,0,0,0,0,0,1,0.31,1,0,0,0,0,0,Matches
122,Oliver Edvardsen,no NOR,"FW,MF",Go Ahead Eag,26-047,1999,9.9,31,3.14,18,0,4,4,4,1,9,0.91,4,0,2,2,1,0,Matches
123,Victor Edvardsen,se SWE,"FW,MF",Go Ahead Eag,29-111,1996,27.4,85,3.10,66,1,6,7,5,0,12,0.44,11,0,1,0,0,0,Matches
124,Espen van Ee,nl NED,MF,Heerenveen,21-304,2003,23.5,43,1.83,34,0,0,7,2,0,4,0.17,4,0,0,0,0,0,Matches
125,Mike Eerdhuijzen,nl NED,DF,Sparta R'dam,24-296,2000,28.2,28,0.99,25,1,0,1,0,1,1,0.04,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,Roshon van Eijma,cw CUW,DF,RKC Waalwijk,26-330,1998,17.9,7,0.39,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
127,Carel Eiting,nl NED,MF,Sparta R'dam,27-083,1998,9.8,38,3.88,23,10,0,2,2,1,4,0.41,2,1,0,0,1,0,Matches
128,Carel Eiting,nl NED,MF,Twente,27-083,1998,6.5,37,5.64,23,11,0,2,1,0,3,0.46,3,0,0,0,0,0,Matches
129,Hjalmar Ekdal,se SWE,DF,Groningen,26-196,1998,11.0,7,0.64,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
130,Úmaro Embaló,pt POR,FW,Fortuna Sittard,23-364,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Noam Emeran,fr FRA,"DF,MF",Groningen,22-223,2002,0.7,1,1.38,0,1,0,0,0,0,1,1.38,0,1,0,0,0,0,Matches
132,Mario Engels,de GER,"FW,MF",Heracles Almelo,31-195,1993,23.3,55,2.36,34,6,4,3,6,2,8,0.34,6,0,0,0,1,1,Matches
133,Alonzo Engwanda,be BEL,"MF,DF",Utrecht,22-098,2003,11.1,13,1.17,10,1,0,0,0,2,1,0.09,1,0,0,0,0,0,Matches
134,Ante Erceg,hr CRO,"FW,MF",Fortuna Sittard,35-144,1989,3.2,3,0.94,0,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
135,Luca Everink,nl NED,DF,Go Ahead Eag,24-085,2001,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
136,Juan Familia-Castillo,nl NED,DF,RKC Waalwijk,25-112,2000,14.4,34,2.35,27,2,2,2,1,0,4,0.28,3,0,0,1,0,0,Matches
137,Kevin Felida,cw CUW,"MF,FW",RKC Waalwijk,25-175,1999,4.7,10,2.14,9,0,0,1,0,0,1,0.21,1,0,0,0,0,0,Matches
138,Saná Fernandes,pt POR,"FW,MF",NAC Breda,19-056,2006,5.2,15,2.87,11,0,1,0,2,1,0,0.00,0,0,0,0,0,0,Matches
139,Nick Fichtinger,nl NED,MF,Zwolle,21-029,2004,9.5,18,1.89,13,0,1,1,0,3,0,0.00,0,0,0,0,0,0,Matches
140,Kolbeinn Finnsson,is ISL,DF,Utrecht,25-253,1999,1.0,4,4.14,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
141,Kian Fitz-Jim,nl NED,MF,Ajax,21-304,2003,12.7,41,3.22,36,0,1,2,2,0,5,0.39,4,0,0,0,1,0,Matches
142,Ryan Flamingo,nl NED,DF,PSV Eindhoven,22-125,2002,29.7,36,1.21,29,1,0,4,0,2,6,0.20,5,0,0,1,0,0,Matches
143,Sherel Floranus,cw CUW,DF,Almere City,26-255,1998,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
144,Sherel Floranus,cw CUW,DF,Zwolle,26-255,1998,17.0,23,1.36,19,4,0,0,0,0,3,0.18,2,1,0,0,0,0,Matches
145,Carlos Forbs,pt POR,FW,Ajax,21-047,2004,0.4,2,5.45,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
146,Ryan Fosso,ch SUI,MF,Fortuna Sittard,22-322,2002,26.3,48,1.82,34,0,6,4,3,1,3,0.11,3,0,0,0,0,0,Matches
147,Oscar Fraulo,dk DEN,MF,Utrecht,21-150,2003,16.3,39,2.39,33,2,2,0,2,0,5,0.31,4,1,0,0,0,0,Matches
148,Anton Gaaei,dk DEN,DF,Ajax,22-167,2002,17.8,44,2.47,38,5,0,1,0,0,5,0.28,4,1,0,0,0,0,Matches
149,Matt Garbett,nz NZL,"FW,MF",NAC Breda,23-022,2002,6.4,7,1.09,6,1,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
150,Anselmo García MacNulty,ie IRL,DF,Zwolle,22-075,2003,31.0,17,0.55,14,0,0,0,2,1,1,0.03,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
151,Stijn van Gassel,nl NED,GK,NEC Nijmegen,28-199,1996,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Lutsharel Geertruida,nl NED,DF,Feyenoord,24-291,2000,3.0,10,3.33,8,0,0,1,1,0,1,0.33,1,0,0,0,0,0,Matches
153,Liam van Gelderen,nl NED,DF,RKC Waalwijk,24-043,2001,27.0,16,0.59,11,1,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
154,Djomar Giersthove,nl NED,DF,Feyenoord,20-061,2005,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
155,Teun Gijselhart,nl NED,MF,Zwolle,20-029,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Santiago Giménez,mx MEX,FW,Feyenoord,24-017,2001,8.5,19,2.24,12,0,2,2,3,0,2,0.24,0,0,0,1,1,0,Matches
157,Mika Godts,be BEL,FW,Ajax,19-332,2005,16.8,58,3.45,39,1,10,5,2,1,5,0.30,3,0,1,1,0,0,Matches
