Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
470,Harold Osorio,sv SLV,MF,Chicago Fire,21-258,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
471,Jonathan Osorio,ca CAN,MF,Toronto FC,32-327,1992,9.0,16,1.79,12,1,0,1,1,1,1,0.11,1,0,0,0,0,0,Matches
472,Tomáš Ostrák,cz CZE,"MF,DF",St. Louis,25-089,2000,2.4,9,3.68,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
473,Javier Otero,ve VEN,GK,Orlando City,22-168,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
474,Devin Padelford,us USA,DF,Minnesota Utd,22-122,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
475,Maarten Paes,id IDN,GK,FC Dallas,26-356,1998,10.0,1,0.10,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
476,Joseph Paintsil,gh GHA,FW,LA Galaxy,27-093,1998,4.8,16,3.30,7,1,5,1,2,0,1,0.21,1,0,0,0,0,0,Matches
477,Nelson Palacio,co COL,MF,Real Salt Lake,23-323,2001,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
478,Jeison Palacios,co COL,DF,Nashville SC,31-046,1994,4.0,3,0.75,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
479,Sergi Palencia,es ESP,"DF,MF",LAFC,29-043,1996,9.3,13,1.40,13,0,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
480,James Pantemis,ca CAN,GK,Portland Timbers,28-073,1997,9.0,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
481,Cristhian Paredes,py PAR,MF,Portland Timbers,26-352,1998,1.3,5,3.81,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
482,Isaiah Parente,us USA,MF,LA Galaxy,25-050,2000,5.9,11,1.85,9,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
483,Tim Parker,us USA,DF,NY Red Bulls,32-071,1993,2.6,3,1.15,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
484,Keaton Parks,us USA,MF,NYCFC,27-272,1997,9.1,28,3.08,21,0,3,2,1,1,1,0.11,0,0,0,1,0,0,Matches
485,Marco Pašalić,hr CRO,"FW,MF",Orlando City,24-233,2000,9.4,27,2.86,22,0,1,3,1,0,4,0.42,2,0,0,1,1,0,Matches
486,João Paulo Mior,br BRA,MF,Seattle Sounders,34-058,1991,2.5,9,3.62,8,1,0,0,0,0,1,0.40,1,0,0,0,0,0,Matches
487,Tom Pearce,eng ENG,"MF,DF",CF Montréal,27-023,1998,3.5,13,3.69,7,6,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
488,Pedrinho,br BRA,"MF,FW",FC Dallas,22-017,2003,3.5,13,3.68,7,2,2,1,1,0,2,0.57,2,0,0,0,0,0,Matches
489,Peglow,br BRA,"FW,MF",D.C. United,23-118,2002,6.1,20,3.30,11,5,3,0,1,0,4,0.66,1,0,2,0,1,0,Matches
490,Amahl Pellegrino,no NOR,"MF,FW",SJ Earthquakes,34-321,1990,2.8,12,4.30,10,0,0,1,0,1,3,1.08,2,0,0,0,0,1,Matches
491,Matti Peltola,fi FIN,"MF,DF",D.C. United,22-306,2002,3.6,7,1.95,6,0,0,0,1,0,1,0.28,1,0,0,0,0,0,Matches
492,Andrés Perea,us USA,MF,NYCFC,24-172,2000,1.5,3,1.94,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
493,Daniel Pereira,ve VEN,MF,Austin,24-295,2000,8.4,25,2.96,19,1,2,0,1,2,2,0.24,1,0,1,0,0,0,Matches
