Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-084,2002,18.5,1145,50,300,697,161,12,1145,22,15,68.2,6,27.3,507,2373,1127,21,17,2,20,7,724,17,Matches
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-219,1999,17.8,939,47,285,414,245,32,939,30,7,23.3,18,60.0,478,2319,1147,29,12,8,31,9,538,95,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,29-003,1996,4.8,294,7,67,159,72,4,294,7,4,57.1,2,28.6,169,1357,716,13,10,2,9,4,183,3,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-227,2002,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,29-035,1996,18.6,1492,127,660,782,53,16,1492,10,5,50.0,2,20.0,948,5736,3573,26,18,0,7,3,1064,1,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,32-008,1993,11.6,942,25,241,413,295,28,942,21,9,42.9,9,42.9,487,2274,1252,32,19,5,18,6,573,91,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,23-036,2002,0.6,31,1,12,16,3,0,31,1,0,0.0,1,100.0,16,131,55,2,1,0,1,1,17,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,17-070,2008,1.9,61,2,11,21,29,5,61,1,0,0.0,0,0.0,33,203,72,1,0,0,5,1,34,5,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-202,2001,0.5,22,0,2,10,10,2,22,0,0,,0,,12,68,26,1,2,0,3,0,14,3,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,31-045,1994,21.8,1032,45,259,615,167,34,1032,28,12,42.9,12,42.9,495,2116,987,15,8,2,32,15,615,16,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,29-217,1995,6.0,406,55,249,160,1,1,406,1,1,100.0,0,0.0,252,1221,657,1,0,0,0,1,305,0,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-217,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19-313,2005,1.4,48,1,10,20,19,2,48,4,0,0.0,4,100.0,33,169,95,4,2,1,5,7,37,8,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,28-208,1996,29.4,1509,143,554,628,354,21,1509,66,30,45.5,24,36.4,657,4201,2432,56,37,10,40,22,719,55,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23-332,2001,31.8,1944,86,535,827,605,84,1944,116,56,48.3,46,39.7,1006,5513,2850,79,54,24,43,44,1181,158,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,20-205,2004,0.1,5,0,0,3,2,0,5,0,0,,0,,5,25,7,0,0,0,1,0,5,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-017,1998,15.5,765,52,257,356,158,35,765,16,7,43.8,8,50.0,376,2052,1171,27,11,2,15,12,477,42,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-068,1994,25.0,807,27,70,394,348,108,806,15,6,40.0,9,60.0,356,1163,411,9,11,4,54,9,580,114,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29-289,1995,19.4,1635,111,487,797,353,11,1635,2,2,100.0,0,0.0,1071,5684,3362,38,52,0,4,5,1291,6,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,21-210,2003,5.5,395,29,145,228,26,1,395,1,1,100.0,0,0.0,214,943,452,4,3,0,1,0,237,9,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-075,1995,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-018,2004,6.5,293,8,44,89,163,29,293,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-139,1997,26.5,1385,95,508,532,358,27,1385,31,13,41.9,17,54.8,692,4245,2322,53,35,5,27,17,789,89,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-068,2002,25.6,1515,21,147,619,771,153,1514,96,46,47.9,48,50.0,968,6249,3478,122,94,45,74,42,1107,218,Matches
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,27-135,1997,0.2,18,2,5,13,0,0,18,0,0,,0,,14,38,10,0,0,0,1,0,14,0,Matches
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-161,2001,24.9,1367,156,714,559,108,8,1367,23,8,34.8,11,47.8,780,3943,2051,26,19,1,9,4,803,24,Matches
70,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-205,1992,6.7,334,19,112,157,71,3,334,27,7,25.9,16,59.3,198,1109,456,9,10,0,16,2,183,10,Matches
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,23-079,2002,0.5,9,1,2,3,4,0,9,1,1,100.0,0,0.0,6,54,8,0,1,0,0,2,10,3,Matches
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-015,1995,22.7,1592,215,716,776,110,5,1592,14,7,50.0,6,42.9,837,3643,1689,14,14,0,9,9,975,16,Matches
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,29-207,1995,5.8,133,4,12,58,65,25,132,9,4,44.4,4,44.4,64,300,104,2,3,1,12,3,92,30,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-314,1992,3.5,247,36,137,100,11,2,247,0,0,,0,,180,934,482,2,1,0,1,0,199,4,Matches
75,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,35-042,1990,0.7,44,0,2,17,26,8,44,3,2,66.7,0,0.0,24,129,18,1,0,0,4,6,40,6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-242,1985,13.2,915,157,533,369,14,3,915,0,0,,0,,514,2346,1226,3,1,0,3,1,652,0,Matches
77,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-155,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches
78,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,22-155,2002,6.4,311,10,51,139,130,15,311,16,9,56.3,5,31.3,180,1104,576,15,17,2,11,11,206,17,Matches
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-129,1996,30.4,1472,173,633,741,108,34,1472,25,16,64.0,9,36.0,594,3849,2496,24,18,2,29,8,622,6,Matches
80,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-119,1998,5.0,163,5,26,84,56,10,163,4,3,75.0,1,25.0,88,427,169,3,2,1,3,6,98,10,Matches
81,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-119,1998,8.5,444,2,50,210,185,19,444,20,9,45.0,4,20.0,252,1094,537,15,18,2,15,12,316,36,Matches
82,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,de Bundesliga,24-146,2000,0.0,1,0,1,0,0,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,0,Matches
83,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-209,1998,24.9,2111,85,565,942,618,42,2111,31,14,45.2,15,48.4,1109,5122,2732,49,35,8,19,15,1342,87,Matches
84,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,26-000,1999,12.7,480,2,37,122,327,99,480,55,21,38.2,28,50.9,327,2503,1518,78,37,40,25,19,374,144,Matches
85,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-105,2004,17.9,707,9,75,303,348,73,707,69,20,29.0,40,58.0,451,3176,1852,79,37,30,67,26,534,128,Matches
86,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-290,2001,0.8,31,2,5,11,17,0,31,4,2,50.0,2,50.0,17,98,44,1,3,0,1,1,19,2,Matches
87,Alisson,br BRA,GK,Liverpool,eng Premier League,32-214,1992,23.9,801,577,786,15,0,0,801,1,1,100.0,0,0.0,509,1996,1152,0,0,0,1,0,485,0,Matches
88,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,26-073,1999,0.0,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0,Matches
89,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,30-066,1995,17.8,624,10,124,282,233,63,624,44,14,31.8,30,68.2,396,2869,1223,49,29,7,35,28,443,88,Matches
90,Dele Alli,eng ENG,MF,Como,it Serie A,29-023,1996,0.1,4,0,0,2,2,0,4,0,0,,0,,3,7,4,0,0,0,1,0,4,1,Matches
91,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,24-008,2001,7.7,590,15,106,280,208,22,590,9,6,66.7,3,33.3,408,1973,944,25,23,7,11,7,467,35,Matches
92,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-339,2000,19.5,1019,14,131,518,381,38,1019,51,21,41.2,20,39.2,595,3153,1553,38,42,8,34,35,726,67,Matches
93,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,21-000,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10,Matches
94,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,31-083,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Matches
95,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-298,1999,12.4,462,11,67,154,253,53,462,50,20,40.0,28,56.0,298,2165,1059,42,18,22,31,13,320,85,Matches
96,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-127,1990,26.0,2376,191,907,1252,248,26,2374,23,14,60.9,8,34.8,1528,9363,5811,52,36,2,17,8,1679,43,Matches
97,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-268,1998,8.4,505,60,235,216,57,6,505,6,5,83.3,1,16.7,235,990,404,4,10,0,5,5,252,5,Matches
98,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,24-037,2001,14.1,631,51,200,298,143,4,631,23,8,34.8,10,43.5,275,1399,744,18,18,2,24,6,325,49,Matches
99,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-252,2001,18.5,1264,40,258,781,233,15,1264,20,13,65.0,7,35.0,743,3107,1335,19,12,0,21,16,881,24,Matches
100,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-192,1997,18.1,1101,61,323,612,174,12,1101,31,14,45.2,12,38.7,603,3371,1528,21,20,2,25,13,734,18,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-306,2003,16.0,1122,22,243,440,447,76,1122,66,28,42.4,36,54.5,671,3600,2087,67,37,38,30,12,754,160,Matches
102,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-093,2000,25.2,1100,8,96,457,563,95,1096,54,29,53.7,23,42.6,679,3906,1828,69,46,24,52,37,794,146,Matches
103,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-100,1995,17.8,1256,89,485,726,53,13,1256,8,5,62.5,3,37.5,695,4256,2740,18,8,0,10,6,796,0,Matches
104,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,23-000,2002,2.6,136,15,49,68,19,2,136,3,2,66.7,1,33.3,70,306,132,1,1,0,6,4,74,0,Matches
105,Will Alves,eng ENG,FW,Leicester City,eng Premier League,20-090,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
106,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,28-170,1996,14.0,557,4,90,305,171,17,556,59,28,47.5,24,40.7,282,1675,742,23,17,6,33,23,328,24,Matches
107,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,18-049,2007,1.8,121,7,39,37,46,2,121,3,2,66.7,1,33.3,61,307,178,5,4,1,6,4,64,12,Matches
108,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-292,1996,3.9,148,4,24,60,65,11,148,12,4,33.3,8,66.7,91,495,254,8,7,2,10,3,107,26,Matches
109,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,31-056,1994,8.8,615,20,186,304,131,4,615,13,7,53.8,6,46.2,309,1558,936,22,18,1,9,5,361,21,Matches
110,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-277,2003,1.0,80,13,38,37,6,1,80,1,1,100.0,0,0.0,45,174,72,1,0,0,1,0,52,1,Matches
111,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-085,1998,22.3,1029,76,341,452,246,17,1029,19,12,63.2,7,36.8,481,2147,1063,29,25,1,16,11,550,70,Matches
112,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-082,1996,24.1,1943,75,530,1115,308,30,1943,27,14,51.9,13,48.1,1073,4491,2334,43,33,8,23,9,1352,89,Matches
113,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-189,1996,24.5,1861,43,320,1034,533,46,1859,63,31,49.2,28,44.4,1010,4885,2293,46,38,13,40,25,1165,57,Matches
114,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-290,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches
115,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,18-290,2006,2.4,112,1,24,56,36,7,112,12,5,41.7,4,33.3,66,502,228,10,6,3,5,2,75,13,Matches
116,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,19-106,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0,Matches
117,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-106,2006,9.5,407,18,104,218,90,9,407,16,5,31.3,9,56.3,242,1169,585,8,11,2,22,8,273,17,Matches
118,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-360,2000,25.4,1012,14,105,355,577,120,1010,85,35,41.2,44,51.8,578,3848,1938,76,43,33,78,17,674,233,Matches
119,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-256,1996,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1,Matches
120,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-338,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
121,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-338,1996,25.7,2089,293,1085,923,93,20,2089,6,4,66.7,0,0.0,1211,5814,2996,13,14,1,6,3,1446,2,Matches
122,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-179,2002,26.4,1529,88,362,718,477,59,1529,69,35,50.7,26,37.7,774,4272,1992,44,29,18,54,38,900,82,Matches
123,André,br BRA,MF,Wolves,eng Premier League,23-292,2001,25.0,1451,83,395,939,132,3,1451,27,13,48.1,10,37.0,795,3281,1440,8,14,0,27,17,973,11,Matches
124,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-274,1990,27.9,2133,70,371,1387,390,43,2133,22,9,40.9,11,50.0,1084,4918,2392,27,31,1,44,31,1470,65,Matches
125,Marcos André,br BRA,FW,Valladolid,es La Liga,28-196,1996,13.1,372,13,46,208,128,32,372,41,17,41.5,18,43.9,195,1010,345,11,9,5,40,23,255,39,Matches
